Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Abilene Christian,2000,28.8,26.3,68.8,34,11,9,7,1,20,0,20,0,0,0,20,400830546,2016,2,2015-11-23,,57.0,False,15.0,52.0,22.0,32.0,5.0,19.0,Portland,87.0,0.0,home,2501.0,0,1,0,15.0,52.0,5.0,19.0,22.0,32.0,33.0,64.0,51.6,11.0,22.0,50.0,10.0,19.0,52.6,11,40,16,10,3,15,27
Abilene Christian,2000,47.1,46.7,83.3,33,8,23,5,3,10,0,10,0,0,0,29,400845405,2016,2,2015-11-25,,100.0,False,33.0,70.0,20.0,24.0,14.0,30.0,Colorado State,108.0,7.0,home,36.0,0,1,0,33.0,70.0,14.0,30.0,20.0,24.0,36.0,73.0,49.3,9.0,24.0,37.5,27.0,33.0,81.8,13,43,18,2,3,10,22
Abilene Christian,2000,45.1,46.7,76.0,38,9,8,9,5,17,0,17,0,0,0,22,400847053,2016,2,2015-11-27,,72.0,True,23.0,51.0,19.0,25.0,7.0,15.0,Florida A&M,62.0,,away,50.0,0,0,1,23.0,51.0,7.0,15.0,19.0,25.0,24.0,58.0,41.4,2.0,14.0,14.3,12.0,22.0,54.5,10,31,12,5,4,17,22
Abilene Christian,2000,31.3,14.3,73.7,35,15,8,7,4,9,0,9,0,0,0,18,400854238,2016,2,2015-11-28,,57.0,False,20.0,64.0,14.0,19.0,3.0,21.0,Oakland,85.0,,home,2473.0,0,1,0,20.0,64.0,3.0,21.0,14.0,19.0,32.0,64.0,50.0,10.0,17.0,58.8,11.0,17.0,64.7,14,44,17,3,2,10,16
Abilene Christian,2000,48.0,53.3,79.2,29,4,12,3,4,12,0,12,0,0,0,22,400824559,2016,2,2015-12-04,,75.0,False,24.0,50.0,19.0,24.0,8.0,15.0,New Hampshire,86.0,3.0,away,160.0,0,0,0,24.0,50.0,8.0,15.0,19.0,24.0,32.0,60.0,53.3,6.0,17.0,35.3,16.0,24.0,66.7,9,33,18,3,1,13,20
Abilene Christian,2000,46.8,33.3,82.4,25,4,5,8,4,20,0,20,0,0,0,23,400820720,2016,2,2015-12-05,,63.0,False,22.0,47.0,14.0,17.0,5.0,15.0,Nebraska,73.0,5.0,home,158.0,0,1,0,22.0,47.0,5.0,15.0,14.0,17.0,21.0,49.0,42.9,4.0,16.0,25.0,27.0,36.0,75.0,11,34,10,12,5,12,18
Abilene Christian,2000,40.0,21.1,57.1,32,9,7,3,1,9,0,9,0,0,0,17,400841797,2016,2,2015-12-19,,56.0,False,22.0,55.0,8.0,14.0,4.0,19.0,UC Riverside,60.0,0.0,away,27.0,0,0,0,22.0,55.0,4.0,19.0,8.0,14.0,24.0,48.0,50.0,5.0,16.0,31.3,7.0,15.0,46.7,6,33,8,2,2,12,19
Abilene Christian,2000,45.3,21.1,65.4,32,9,11,6,4,13,0,13,0,0,0,26,400827746,2016,2,2015-12-20,,69.0,False,24.0,53.0,17.0,26.0,4.0,19.0,TCU,80.0,0.0,home,2628.0,0,1,0,24.0,53.0,4.0,19.0,17.0,26.0,28.0,58.0,48.3,4.0,12.0,33.3,20.0,26.0,76.9,9,33,16,4,2,10,22
Abilene Christian,2000,44.8,43.8,64.7,23,7,14,6,2,8,0,8,1,1,0,22,400843812,2016,2,2015-12-23,,70.0,False,26.0,58.0,11.0,17.0,7.0,16.0,Drake,87.0,0.0,home,2181.0,0,1,0,26.0,58.0,7.0,16.0,11.0,17.0,30.0,48.0,62.5,10.0,18.0,55.6,17.0,25.0,68.0,5,34,13,4,2,12,17
Abilene Christian,2000,38.2,44.4,84.2,35,9,9,7,3,16,0,16,0,0,0,21,400847056,2016,2,2016-01-02,,62.0,True,21.0,55.0,16.0,19.0,4.0,9.0,Central Arkansas,61.0,14.0,home,2110.0,0,1,1,21.0,55.0,4.0,9.0,16.0,19.0,23.0,56.0,41.1,4.0,11.0,36.4,11.0,22.0,50.0,14,41,11,5,6,17,17
