Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Florida International,2229,41.8,34.6,80.0,35,16,16,11,3,13,0,13,0,0,0,19,401252483,2021,2,2020-12-12,,77.0,False,28.0,67.0,12.0,15.0,9.0,26.0,North Florida,80.0,9.0,home,2454.0,0,1,0,28.0,67.0,9.0,26.0,12.0,15.0,29.0,56.0,51.8,6.0,17.0,35.3,16.0,22.0,72.7,12,35,12,6,7,14,18
North Florida,2454,51.8,35.3,72.7,35,12,12,6,7,14,0,14,0,0,0,18,401252483,2021,2,2020-12-12,,80.0,True,29.0,56.0,16.0,22.0,6.0,17.0,Florida International,77.0,12.0,away,2229.0,0,0,1,29.0,56.0,6.0,17.0,16.0,22.0,28.0,67.0,41.8,9.0,26.0,34.6,12.0,15.0,80.0,16,35,16,11,3,13,19
Iowa State,66,34.0,16.7,72.0,34,10,8,5,3,21,0,21,0,0,0,19,401252508,2021,2,2021-01-30,,56.0,False,17.0,50.0,18.0,25.0,4.0,24.0,Mississippi State,95.0,3.0,home,344.0,0,1,0,17.0,50.0,4.0,24.0,18.0,25.0,37.0,73.0,50.7,8.0,19.0,42.1,13.0,19.0,68.4,17,41,21,9,4,11,17
Mississippi State,344,50.7,42.1,68.4,41,17,21,9,4,11,1,11,0,0,0,17,401252508,2021,2,2021-01-30,,95.0,True,37.0,73.0,13.0,19.0,8.0,19.0,Iowa State,56.0,41.0,away,66.0,0,0,1,37.0,73.0,8.0,19.0,13.0,19.0,17.0,50.0,34.0,4.0,24.0,16.7,18.0,25.0,72.0,10,34,8,5,3,21,19
West Virginia,277,43.3,36.8,70.8,45,15,13,12,2,16,1,16,0,0,0,14,401252509,2021,2,2021-02-03,,76.0,True,26.0,60.0,17.0,24.0,7.0,19.0,Iowa State,72.0,15.0,home,66.0,0,1,1,26.0,60.0,7.0,19.0,17.0,24.0,28.0,63.0,44.4,9.0,21.0,42.9,7.0,12.0,58.3,9,32,18,7,1,16,21
Iowa State,66,44.4,42.9,58.3,32,9,18,7,1,16,0,16,0,0,0,21,401252509,2021,2,2021-02-03,,72.0,False,28.0,63.0,7.0,12.0,9.0,21.0,West Virginia,76.0,7.0,away,277.0,0,0,0,28.0,63.0,9.0,21.0,7.0,12.0,26.0,60.0,43.3,7.0,19.0,36.8,17.0,24.0,70.8,15,45,13,12,2,16,14
Iowa State,66,38.0,51.6,100.0,30,10,14,4,3,10,1,10,1,1,0,21,401252510,2021,2,2021-02-06,,72.0,False,27.0,71.0,2.0,2.0,16.0,31.0,Oklahoma,79.0,2.0,home,201.0,0,1,0,27.0,71.0,16.0,31.0,2.0,2.0,29.0,53.0,54.7,6.0,19.0,31.6,15.0,21.0,71.4,7,40,14,4,1,14,12
Oklahoma,201,54.7,31.6,71.4,40,7,14,4,1,14,0,14,1,1,0,12,401252510,2021,2,2021-02-06,,79.0,True,29.0,53.0,15.0,21.0,6.0,19.0,Iowa State,72.0,10.0,away,66.0,0,0,1,29.0,53.0,6.0,19.0,15.0,21.0,27.0,71.0,38.0,16.0,31.0,51.6,2.0,2.0,100.0,10,30,14,4,3,10,21
Kansas,2305,35.8,30.4,75.0,36,15,15,10,3,9,1,9,0,0,0,13,401252511,2021,2,2021-02-13,,64.0,True,24.0,67.0,9.0,12.0,7.0,23.0,Iowa State,50.0,16.0,home,66.0,0,1,1,24.0,67.0,7.0,23.0,9.0,12.0,17.0,45.0,37.8,4.0,11.0,36.4,12.0,13.0,92.3,8,37,7,1,3,23,17
Iowa State,66,37.8,36.4,92.3,37,8,7,1,3,23,1,23,0,0,0,17,401252511,2021,2,2021-02-13,,50.0,False,17.0,45.0,12.0,13.0,4.0,11.0,Kansas,64.0,8.0,away,2305.0,0,0,0,17.0,45.0,4.0,11.0,12.0,13.0,24.0,67.0,35.8,7.0,23.0,30.4,9.0,12.0,75.0,15,36,15,10,3,9,13
