Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Cal Poly,13,36.1,18.2,70.0,39,10,12,8,5,14,1,14,1,1,0,20,233300013,2004,2,2003-11-26,2003-11-27 03:00:00+00:00,62.0,False,22.0,61.0,14.0,20.0,4.0,22.0,Colorado,73.0,,home,38.0,0,1,0,22.0,61.0,4.0,22.0,14.0,20.0,28.0,63.0,44.4,1.0,10.0,10.0,16.0,23.0,69.6,12,48,9,9,6,14,17
Charlotte,2429,52.5,41.9,63.6,50,14,25,5,4,16,0,16,1,1,0,20,233300183,2004,2,2003-11-26,2003-11-27 00:00:00+00:00,96.0,True,31.0,59.0,21.0,33.0,13.0,31.0,Syracuse,92.0,,away,183.0,0,0,1,31.0,59.0,13.0,31.0,21.0,33.0,35.0,74.0,47.3,8.0,19.0,42.1,14.0,25.0,56.0,16,41,21,12,1,8,25
Colorado,38,44.4,10.0,69.6,48,12,9,9,6,14,0,14,0,0,0,17,233300013,2004,2,2003-11-26,2003-11-27 03:00:00+00:00,73.0,True,28.0,63.0,16.0,23.0,1.0,10.0,Cal Poly,62.0,,away,13.0,0,0,1,28.0,63.0,1.0,10.0,16.0,23.0,22.0,61.0,36.1,4.0,22.0,18.2,14.0,20.0,70.0,10,39,12,8,5,14,20
Colorado State,36,31.8,36.4,58.6,33,11,10,3,4,31,0,31,1,1,0,30,233300197,2004,2,2003-11-26,2003-11-27 01:00:00+00:00,49.0,False,14.0,44.0,17.0,29.0,4.0,11.0,Oklahoma State,82.0,,away,197.0,0,0,0,14.0,44.0,4.0,11.0,17.0,29.0,31.0,62.0,50.0,2.0,8.0,25.0,18.0,26.0,69.2,13,43,24,10,8,16,26
Florida State,52,55.1,41.9,66.7,44,12,22,18,2,17,0,17,0,0,0,19,233300052,2004,2,2003-11-26,2003-11-27 00:00:00+00:00,99.0,True,38.0,69.0,10.0,15.0,13.0,31.0,Nicholls State,54.0,,home,2447.0,0,1,1,38.0,69.0,13.0,31.0,10.0,15.0,16.0,44.0,36.4,8.0,21.0,38.1,14.0,21.0,66.7,4,22,11,8,0,29,18
High Point,2272,26.8,18.8,59.3,41,13,9,7,1,20,2,20,0,0,0,19,233300130,2004,2,2003-11-26,2003-11-27 00:00:00+00:00,49.0,False,15.0,56.0,16.0,27.0,3.0,16.0,Michigan,84.0,,away,130.0,0,0,0,15.0,56.0,3.0,16.0,16.0,27.0,34.0,60.0,56.7,8.0,21.0,38.1,8.0,15.0,53.3,12,48,21,8,8,22,21
Illinois,356,53.6,31.3,82.4,47,19,17,6,3,13,0,13,0,0,0,19,233300356,2004,2,2003-11-26,2003-11-27 01:00:00+00:00,93.0,True,37.0,69.0,14.0,17.0,5.0,16.0,Mercer,61.0,,home,2382.0,0,1,1,37.0,69.0,5.0,16.0,14.0,17.0,22.0,55.0,40.0,7.0,21.0,33.3,10.0,17.0,58.8,14,30,12,3,5,21,15
Illinois,356,41.1,13.3,37.5,38,16,17,6,2,22,1,22,0,0,0,20,233432507,2004,2,2003-12-09,2003-12-10 00:00:00+00:00,51.0,False,23.0,56.0,3.0,8.0,2.0,15.0,Providence,70.0,,away,2507.0,0,0,0,23.0,56.0,2.0,15.0,3.0,8.0,26.0,60.0,43.3,7.0,16.0,43.8,11.0,19.0,57.9,19,44,14,10,7,14,12
Louisiana State,99,49.1,52.6,69.6,36,13,16,6,5,13,1,13,0,0,0,16,233300099,2004,2,2003-11-26,2003-11-27 01:00:00+00:00,78.0,True,26.0,53.0,16.0,23.0,10.0,19.0,Troy,69.0,,home,2653.0,0,1,1,26.0,53.0,10.0,19.0,16.0,23.0,24.0,57.0,42.1,12.0,29.0,41.4,9.0,12.0,75.0,12,29,11,4,3,12,15
Mercer,2382,40.0,33.3,58.8,30,14,12,3,5,21,0,21,0,0,0,15,233300356,2004,2,2003-11-26,2003-11-27 01:00:00+00:00,61.0,False,22.0,55.0,10.0,17.0,7.0,21.0,Illinois,93.0,,away,356.0,0,0,0,22.0,55.0,7.0,21.0,10.0,17.0,37.0,69.0,53.6,5.0,16.0,31.3,14.0,17.0,82.4,19,47,17,6,3,13,19
