Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Stony Brook,2619,39.6,30.0,83.3,41,7,8,1,2,8,0,8,0,0,0,14,330330160,2013,2,2013-02-02,,56.0,True,19.0,48.0,15.0,18.0,3.0,10.0,New Hampshire,54.0,8.0,home,160.0,0,1,1,19.0,48.0,3.0,10.0,15.0,18.0,19.0,56.0,33.9,6.0,26.0,23.1,10.0,14.0,71.4,12,43,10,5,3,7,17
New Hampshire,160,33.9,23.1,71.4,43,12,10,5,3,7,0,7,0,0,0,17,330330160,2013,2,2013-02-02,,54.0,False,19.0,56.0,10.0,14.0,6.0,26.0,Stony Brook,56.0,11.0,away,2619.0,0,0,0,19.0,56.0,6.0,26.0,10.0,14.0,19.0,48.0,39.6,3.0,10.0,30.0,15.0,18.0,83.3,7,41,8,1,2,8,14
Central Connecticut,2115,42.9,22.7,75.0,48,17,14,10,1,13,0,13,0,0,0,16,330330161,2013,2,2013-02-03,,80.0,True,27.0,63.0,21.0,28.0,5.0,22.0,Fairleigh Dickinson,71.0,24.0,home,161.0,0,1,1,27.0,63.0,5.0,22.0,21.0,28.0,27.0,59.0,45.8,8.0,26.0,30.8,9.0,17.0,52.9,10,34,12,6,4,18,19
Fairleigh Dickinson,161,45.8,30.8,52.9,34,10,12,6,4,18,0,18,0,0,0,19,330330161,2013,2,2013-02-03,,71.0,False,27.0,59.0,9.0,17.0,8.0,26.0,Central Connecticut,80.0,0.0,away,2115.0,0,0,0,27.0,59.0,8.0,26.0,9.0,17.0,27.0,63.0,42.9,5.0,22.0,22.7,21.0,28.0,75.0,17,48,14,10,1,13,16
Columbia,171,46.4,30.8,58.8,27,9,9,5,1,3,0,3,0,0,0,18,330330163,2013,2,2013-02-02,,66.0,False,26.0,56.0,10.0,17.0,4.0,13.0,Princeton,72.0,1.0,home,163.0,0,1,0,26.0,56.0,4.0,13.0,10.0,17.0,23.0,45.0,51.1,8.0,11.0,72.7,18.0,22.0,81.8,7,29,12,2,6,10,14
Princeton,163,51.1,72.7,81.8,29,7,12,2,6,10,0,10,0,0,0,14,330330163,2013,2,2013-02-02,,72.0,True,23.0,45.0,18.0,22.0,8.0,11.0,Columbia,66.0,14.0,away,171.0,0,0,1,23.0,45.0,8.0,11.0,18.0,22.0,26.0,56.0,46.4,4.0,13.0,30.8,10.0,17.0,58.8,9,27,9,5,1,3,18
Nevada,2440,40.7,38.5,66.7,34,10,17,3,1,11,0,11,0,0,0,17,330330167,2013,2,2013-02-03,,62.0,False,24.0,59.0,4.0,6.0,10.0,26.0,New Mexico,75.0,2.0,home,167.0,0,1,0,24.0,59.0,10.0,26.0,4.0,6.0,28.0,50.0,56.0,11.0,21.0,52.4,8.0,14.0,57.1,2,29,22,6,7,7,11
New Mexico,167,56.0,52.4,57.1,29,2,22,6,7,7,0,7,0,0,0,11,330330167,2013,2,2013-02-03,,75.0,True,28.0,50.0,8.0,14.0,11.0,21.0,Nevada,62.0,13.0,away,2440.0,0,0,1,28.0,50.0,11.0,21.0,8.0,14.0,24.0,59.0,40.7,10.0,26.0,38.5,4.0,6.0,66.7,10,34,17,3,1,11,17
Duquesne,2184,43.5,45.8,60.0,24,8,14,6,3,11,1,11,0,0,0,17,330330179,2013,2,2013-02-02,,60.0,False,20.0,46.0,9.0,15.0,11.0,24.0,St. Bonaventure,68.0,1.0,home,179.0,0,1,0,20.0,46.0,11.0,24.0,9.0,15.0,22.0,50.0,44.0,12.0,22.0,54.5,12.0,14.0,85.7,13,44,14,4,2,15,19
St. Bonaventure,179,44.0,54.5,85.7,44,13,14,4,2,15,0,15,0,0,0,19,330330179,2013,2,2013-02-02,,68.0,True,22.0,50.0,12.0,14.0,12.0,22.0,Duquesne,60.0,13.0,away,2184.0,0,0,1,22.0,50.0,12.0,22.0,12.0,14.0,20.0,46.0,43.5,11.0,24.0,45.8,9.0,15.0,60.0,8,24,14,6,3,11,17
Ball State,2050,45.8,43.8,50.0,29,5,13,10,4,15,0,15,0,0,0,16,330330189,2013,2,2013-02-02,,59.0,False,22.0,48.0,8.0,16.0,7.0,16.0,Bowling Green,70.0,0.0,home,189.0,0,1,0,22.0,48.0,7.0,16.0,8.0,16.0,30.0,52.0,57.7,2.0,12.0,16.7,8.0,15.0,53.3,6,31,16,13,2,13,13
Bowling Green,189,57.7,16.7,53.3,31,6,16,13,2,13,0,13,0,0,0,13,330330189,2013,2,2013-02-02,,70.0,True,30.0,52.0,8.0,15.0,2.0,12.0,Ball State,59.0,13.0,away,2050.0,0,0,1,30.0,52.0,2.0,12.0,8.0,15.0,22.0,48.0,45.8,7.0,16.0,43.8,8.0,16.0,50.0,5,29,13,10,4,15,16
SE Louisiana,2545,38.5,47.4,62.5,41,8,6,4,3,15,0,15,0,0,0,22,330330198,2013,2,2013-02-03,,59.0,False,20.0,52.0,10.0,16.0,9.0,19.0,Oral Roberts,65.0,2.0,home,198.0,0,1,0,20.0,52.0,9.0,19.0,10.0,16.0,22.0,54.0,40.7,3.0,11.0,27.3,18.0,25.0,72.0,8,41,9,6,6,12,20
Oral Roberts,198,40.7,27.3,72.0,41,8,9,6,6,12,0,12,0,0,0,20,330330198,2013,2,2013-02-03,,65.0,True,22.0,54.0,18.0,25.0,3.0,11.0,SE Louisiana,59.0,15.0,away,2545.0,0,0,1,22.0,54.0,3.0,11.0,18.0,25.0,20.0,52.0,38.5,9.0,19.0,47.4,10.0,16.0,62.5,8,41,6,4,3,15,22
Kansas State,2306,37.5,31.3,71.4,38,9,11,10,2,10,0,10,1,1,0,18,330330201,2013,2,2013-02-02,,52.0,True,21.0,56.0,5.0,7.0,5.0,16.0,Oklahoma,50.0,8.0,home,201.0,0,1,1,21.0,56.0,5.0,16.0,5.0,7.0,19.0,49.0,38.8,3.0,14.0,21.4,9.0,14.0,64.3,10,43,8,4,1,14,12
Oklahoma,201,38.8,21.4,64.3,43,10,8,4,1,14,0,14,1,1,0,12,330330201,2013,2,2013-02-02,,50.0,False,19.0,49.0,9.0,14.0,3.0,14.0,Kansas State,52.0,2.0,away,2306.0,0,0,0,19.0,49.0,3.0,14.0,9.0,14.0,21.0,56.0,37.5,5.0,16.0,31.3,5.0,7.0,71.4,9,38,11,10,2,10,18
Cornell,172,50.9,34.8,70.0,33,8,14,7,2,13,0,13,0,0,0,7,330330219,2013,2,2013-02-03,,71.0,True,28.0,55.0,7.0,10.0,8.0,23.0,Pennsylvania,69.0,6.0,home,219.0,0,1,1,28.0,55.0,8.0,23.0,7.0,10.0,28.0,56.0,50.0,12.0,24.0,50.0,1.0,3.0,33.3,8,31,24,5,5,17,12
Pennsylvania,219,50.0,50.0,33.3,31,8,24,5,5,17,1,17,0,0,0,12,330330219,2013,2,2013-02-03,,69.0,False,28.0,56.0,1.0,3.0,12.0,24.0,Cornell,71.0,10.0,away,172.0,0,0,0,28.0,56.0,12.0,24.0,1.0,3.0,28.0,55.0,50.9,8.0,23.0,34.8,7.0,10.0,70.0,8,33,14,7,2,13,7
Syracuse,183,36.7,21.4,80.0,27,8,5,11,6,14,0,14,0,0,0,20,330330221,2013,2,2013-02-02,,55.0,False,18.0,49.0,16.0,20.0,3.0,14.0,Pittsburgh,65.0,7.0,home,221.0,0,1,0,18.0,49.0,3.0,14.0,16.0,20.0,24.0,50.0,48.0,3.0,15.0,20.0,14.0,21.0,66.7,14,41,19,9,2,20,18
Pittsburgh,221,48.0,20.0,66.7,41,14,19,9,2,20,1,20,0,0,0,18,330330221,2013,2,2013-02-02,,65.0,True,24.0,50.0,14.0,21.0,3.0,15.0,Syracuse,55.0,12.0,away,183.0,0,0,1,24.0,50.0,3.0,15.0,14.0,21.0,18.0,49.0,36.7,3.0,14.0,21.4,16.0,20.0,80.0,8,27,5,11,6,14,20
The Citadel,2643,56.6,53.8,63.0,27,8,21,8,0,8,0,8,0,0,0,17,330330231,2013,2,2013-02-02,,84.0,True,30.0,53.0,17.0,27.0,7.0,13.0,Furman,79.0,9.0,home,231.0,0,1,1,30.0,53.0,7.0,13.0,17.0,27.0,30.0,62.0,48.4,8.0,23.0,34.8,11.0,17.0,64.7,17,41,16,4,3,12,22
Furman,231,48.4,34.8,64.7,41,17,16,4,3,12,1,12,0,0,0,22,330330231,2013,2,2013-02-02,,79.0,False,30.0,62.0,11.0,17.0,8.0,23.0,The Citadel,84.0,18.0,away,2643.0,0,0,0,30.0,62.0,8.0,23.0,11.0,17.0,30.0,53.0,56.6,7.0,13.0,53.8,17.0,27.0,63.0,8,27,21,8,0,8,17
UNC Greensboro,2430,32.7,14.3,80.8,40,10,7,4,3,13,0,13,1,1,0,24,330330232,2013,2,2013-02-03,,59.0,False,18.0,55.0,21.0,26.0,2.0,14.0,Charleston,81.0,2.0,home,232.0,0,1,0,18.0,55.0,2.0,14.0,21.0,26.0,24.0,57.0,42.1,10.0,21.0,47.6,23.0,37.0,62.2,16,47,16,7,5,11,15
