Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Air Force,2005,46.9,50.0,69.2,39,12,18,6,3,13,0,13,0,0,0,12,283212005,2009,2,2008-11-16,2008-11-16 22:00:00+00:00,70.0,True,23.0,49.0,18.0,26.0,6.0,12.0,Cal State Bakersfield,62.0,8.0,home,2934.0,0,1,1,23.0,49.0,6.0,12.0,18.0,26.0,22.0,65.0,33.8,8.0,29.0,27.6,10.0,14.0,71.4,20,40,14,7,4,12,24
Air Force,2005,38.3,28.6,90.5,31,7,12,5,1,14,0,14,0,0,0,18,283282005,2009,2,2008-11-23,2008-11-24 00:00:00+00:00,61.0,False,18.0,47.0,19.0,21.0,6.0,21.0,Wofford,74.0,9.0,home,2747.0,0,1,0,18.0,47.0,6.0,21.0,19.0,21.0,22.0,52.0,42.3,12.0,27.0,44.4,18.0,23.0,78.3,9,31,15,7,2,9,16
Air Force,2005,47.7,33.3,68.8,27,6,12,5,1,20,0,20,0,0,0,15,283310024,2009,2,2008-11-26,2008-11-27 03:30:00+00:00,57.0,False,21.0,44.0,11.0,16.0,4.0,12.0,Stanford,76.0,0.0,away,24.0,0,0,0,21.0,44.0,4.0,12.0,11.0,16.0,27.0,63.0,42.9,12.0,25.0,48.0,10.0,10.0,100.0,13,35,19,8,3,13,15
Air Force,2005,51.1,55.0,76.2,40,12,16,7,1,16,0,16,0,0,0,12,283352005,2009,2,2008-11-30,2008-11-30 22:00:00+00:00,75.0,True,24.0,47.0,16.0,21.0,11.0,20.0,Norfolk State,52.0,23.0,home,2450.0,0,1,1,24.0,47.0,11.0,20.0,16.0,21.0,22.0,56.0,39.3,3.0,22.0,13.6,5.0,9.0,55.6,11,26,6,13,4,12,18
Air Force,2005,47.8,50.0,76.2,35,12,18,6,1,10,1,10,0,0,0,17,283382005,2009,2,2008-12-03,2008-12-04 02:00:00+00:00,67.0,True,22.0,46.0,16.0,21.0,7.0,14.0,Northern Illinois,55.0,16.0,home,2459.0,0,1,1,22.0,46.0,7.0,14.0,16.0,21.0,20.0,55.0,36.4,7.0,23.0,30.4,8.0,15.0,53.3,17,33,10,6,2,10,19
Air Force,2005,63.9,53.3,60.7,29,6,14,6,3,17,0,17,0,0,0,17,283412458,2009,2,2008-12-06,2008-12-07 02:05:00+00:00,71.0,True,23.0,36.0,17.0,28.0,8.0,15.0,Northern Colorado,64.0,7.0,away,2458.0,0,0,1,23.0,36.0,8.0,15.0,17.0,28.0,25.0,56.0,44.6,6.0,20.0,30.0,8.0,15.0,53.3,16,35,12,5,2,17,24
Air Force,2005,51.9,50.0,66.7,36,10,18,7,4,12,0,12,0,0,0,12,283482005,2009,2,2008-12-13,2008-12-13 22:00:00+00:00,71.0,True,28.0,54.0,6.0,9.0,9.0,18.0,Texas-Rio Grande Valley,50.0,24.0,home,292.0,0,1,1,28.0,54.0,9.0,18.0,6.0,9.0,18.0,48.0,37.5,6.0,20.0,30.0,8.0,10.0,80.0,4,21,12,6,1,12,15
Air Force,2005,46.3,58.3,60.6,35,8,12,15,1,17,0,17,0,0,0,19,283572005,2009,2,2008-12-22,2008-12-23 02:00:00+00:00,65.0,True,19.0,41.0,20.0,33.0,7.0,12.0,Texas Southern,41.0,26.0,home,2640.0,0,1,1,19.0,41.0,7.0,12.0,20.0,33.0,11.0,37.0,29.7,0.0,10.0,0.0,19.0,26.0,73.1,6,29,7,10,3,22,21
Air Force,2005,27.8,25.0,78.3,33,8,6,5,1,17,2,17,0,0,0,18,283622501,2009,2,2008-12-27,2008-12-27 23:30:00+00:00,42.0,False,10.0,36.0,18.0,23.0,4.0,16.0,Portland,43.0,9.0,home,2501.0,0,1,0,10.0,36.0,4.0,16.0,18.0,23.0,14.0,49.0,28.6,4.0,24.0,16.7,11.0,17.0,64.7,11,37,9,3,2,12,20
Air Force,2005,42.2,37.5,79.2,42,8,12,4,2,15,1,15,0,0,0,17,283630159,2009,2,2008-12-28,2008-12-28 22:30:00+00:00,63.0,True,19.0,45.0,19.0,24.0,6.0,16.0,Dartmouth,41.0,25.0,away,159.0,0,0,1,19.0,45.0,6.0,16.0,19.0,24.0,10.0,47.0,21.3,2.0,18.0,11.1,19.0,25.0,76.0,7,28,5,7,6,13,19
