Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Air Force,2005,47.2,47.1,62.1,32,9,14,8,1,7,2,7,1,1,0,15,243202005,2005,2,2004-11-15,2004-11-15 23:30:00+00:00,60.0,True,17.0,36.0,18.0,29.0,8.0,17.0,Mississippi,36.0,24.0,home,145.0,0,1,1,17.0,36.0,8.0,17.0,18.0,29.0,14.0,42.0,33.3,3.0,14.0,21.4,5.0,8.0,62.5,9,23,8,2,6,12,25
Air Force,2005,57.9,60.0,70.0,24,7,13,8,3,12,0,12,0,0,0,12,243262005,2005,2,2004-11-21,2004-11-21 19:00:00+00:00,67.0,True,22.0,38.0,14.0,20.0,9.0,15.0,Alcorn State,41.0,26.0,home,2016.0,0,1,1,22.0,38.0,9.0,15.0,14.0,20.0,16.0,40.0,40.0,4.0,13.0,30.8,5.0,7.0,71.4,9,24,9,7,1,19,22
Air Force,2005,45.2,46.7,81.3,26,5,14,7,0,10,0,10,0,0,0,18,243312870,2005,2,2004-11-26,2004-11-26 23:00:00+00:00,58.0,True,19.0,42.0,13.0,16.0,7.0,15.0,Purdue Fort Wayne,40.0,25.0,away,2870.0,0,0,1,19.0,42.0,7.0,15.0,13.0,16.0,13.0,33.0,39.4,3.0,9.0,33.3,11.0,19.0,57.9,11,42,7,3,4,17,12
Air Force,2005,35.7,28.0,80.0,30,11,7,6,1,13,3,13,0,0,0,14,243330270,2005,2,2004-11-28,2004-11-28 22:00:00+00:00,45.0,False,15.0,42.0,8.0,10.0,7.0,25.0,Milwaukee,50.0,0.0,away,270.0,0,0,0,15.0,42.0,7.0,25.0,8.0,10.0,19.0,36.0,52.8,1.0,9.0,11.1,11.0,18.0,61.1,4,23,6,5,3,10,13
Air Force,2005,44.7,39.4,61.5,23,9,19,8,2,9,0,9,1,1,0,13,243372005,2005,2,2004-12-02,2004-12-03 02:05:00+00:00,63.0,True,21.0,47.0,8.0,13.0,13.0,33.0,Northern Colorado,54.0,10.0,home,2458.0,0,1,1,21.0,47.0,13.0,33.0,8.0,13.0,18.0,35.0,51.4,6.0,14.0,42.9,12.0,13.0,92.3,3,24,6,5,0,17,15
Air Force,2005,27.8,21.2,83.3,26,8,11,6,0,15,2,15,1,1,0,16,243460059,2005,2,2004-12-11,2004-12-11 19:30:00+00:00,42.0,False,15.0,54.0,5.0,6.0,7.0,33.0,Georgia Tech,64.0,2.0,away,59.0,0,0,0,15.0,54.0,7.0,33.0,5.0,6.0,24.0,40.0,60.0,0.0,2.0,0.0,16.0,21.0,76.2,4,38,12,9,9,16,13
Air Force,2005,40.9,21.4,65.4,23,5,12,9,2,6,0,6,0,0,0,20,243482320,2005,2,2004-12-13,2004-12-14 01:00:00+00:00,59.0,False,18.0,44.0,17.0,26.0,6.0,28.0,Lamar,66.0,6.0,away,2320.0,0,0,0,18.0,44.0,6.0,28.0,17.0,26.0,21.0,49.0,42.9,8.0,19.0,42.1,16.0,21.0,76.2,15,47,11,6,1,16,22
Air Force,2005,43.4,38.9,75.0,19,6,18,7,1,14,1,14,0,0,0,22,243632294,2005,2,2004-12-28,2004-12-29 01:05:00+00:00,63.0,False,23.0,53.0,3.0,4.0,14.0,36.0,Iowa,73.0,1.0,away,2294.0,0,0,0,23.0,53.0,14.0,36.0,3.0,4.0,27.0,40.0,67.5,2.0,6.0,33.3,17.0,26.0,65.4,7,32,13,5,2,19,12
Air Force,2005,50.0,41.7,80.0,22,5,14,7,1,7,1,7,0,0,0,13,243662005,2005,2,2004-12-31,2004-12-31 23:05:00+00:00,70.0,True,24.0,48.0,12.0,15.0,10.0,24.0,Rutgers,53.0,19.0,home,164.0,0,1,1,24.0,48.0,10.0,24.0,12.0,15.0,18.0,40.0,45.0,6.0,14.0,42.9,11.0,13.0,84.6,8,30,9,1,2,18,19
Air Force,2005,60.0,37.5,81.8,19,5,9,9,2,11,2,11,0,0,0,14,250032005,2005,2,2005-01-03,2005-01-04 02:05:00+00:00,69.0,True,24.0,40.0,18.0,22.0,3.0,8.0,Navy,46.0,25.0,home,2426.0,0,1,1,24.0,40.0,3.0,8.0,18.0,22.0,17.0,34.0,50.0,1.0,6.0,16.7,11.0,13.0,84.6,5,18,4,5,0,19,23
