Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Abilene Christian,2000,51.0,17.6,80.0,21,6,11,4,2,14,0,14,0,0,0,24,400988890,2018,2,2017-11-14,,69.0,False,25.0,49.0,16.0,20.0,3.0,17.0,Arkansas State,83.0,2.0,home,2032.0,0,1,0,25.0,49.0,3.0,17.0,16.0,20.0,28.0,50.0,56.0,7.0,14.0,50.0,20.0,26.0,76.9,12,33,9,7,1,15,19
Abilene Christian,2000,44.6,30.0,61.1,31,6,14,7,2,16,0,16,1,1,0,20,400988914,2018,2,2017-11-21,,67.0,False,25.0,56.0,11.0,18.0,6.0,20.0,Lipscomb,75.0,2.0,away,288.0,0,0,0,25.0,56.0,6.0,20.0,11.0,18.0,27.0,54.0,50.0,7.0,21.0,33.3,14.0,20.0,70.0,6,35,13,6,0,18,21
Abilene Christian,2000,50.8,57.1,100.0,33,7,21,8,4,14,0,14,0,0,0,18,400988922,2018,2,2017-11-24,,85.0,True,33.0,65.0,11.0,11.0,8.0,14.0,Campbell,80.0,14.0,home,2097.0,0,1,1,33.0,65.0,8.0,14.0,11.0,11.0,27.0,55.0,49.1,6.0,20.0,30.0,20.0,25.0,80.0,6,31,15,4,7,14,14
Abilene Christian,2000,46.6,34.8,94.1,28,10,13,8,1,11,0,11,0,0,0,14,400988927,2018,2,2017-11-25,,78.0,False,27.0,58.0,16.0,17.0,8.0,23.0,South Carolina Upstate,88.0,3.0,away,2908.0,0,0,0,27.0,58.0,8.0,23.0,16.0,17.0,29.0,54.0,53.7,13.0,29.0,44.8,17.0,18.0,94.4,7,29,17,7,2,12,12
Abilene Christian,2000,53.1,37.5,77.8,37,10,18,2,6,8,0,8,0,0,0,18,400988929,2018,2,2017-11-26,,88.0,True,34.0,64.0,14.0,18.0,6.0,16.0,Bowling Green,83.0,10.0,home,189.0,0,1,1,34.0,64.0,6.0,16.0,14.0,18.0,30.0,72.0,41.7,8.0,24.0,33.3,15.0,22.0,68.2,20,42,9,4,3,8,18
Abilene Christian,2000,42.6,36.0,46.7,24,7,11,8,4,13,1,13,0,0,0,16,400988958,2018,2,2017-12-07,,62.0,True,23.0,54.0,7.0,15.0,9.0,25.0,Air Force,58.0,17.0,home,2005.0,0,1,1,23.0,54.0,9.0,25.0,7.0,15.0,25.0,51.0,49.0,3.0,18.0,16.7,5.0,8.0,62.5,5,33,15,5,2,20,14
Abilene Christian,2000,44.8,34.5,58.8,33,10,16,4,7,9,0,9,0,0,0,15,400988962,2018,2,2017-12-09,,72.0,True,26.0,58.0,10.0,17.0,10.0,29.0,Texas State,68.0,4.0,away,326.0,0,0,1,26.0,58.0,10.0,29.0,10.0,17.0,26.0,56.0,46.4,6.0,16.0,37.5,10.0,17.0,58.8,10,36,13,3,3,11,17
Abilene Christian,2000,40.3,28.6,81.8,29,7,7,15,4,25,1,25,1,1,0,28,400988978,2018,2,2017-12-17,,65.0,False,25.0,62.0,9.0,11.0,6.0,21.0,Lipscomb,67.0,0.0,home,288.0,0,1,0,25.0,62.0,6.0,21.0,9.0,11.0,20.0,52.0,38.5,3.0,20.0,15.0,24.0,31.0,77.4,12,42,14,8,2,30,14
Abilene Christian,2000,29.5,20.0,100.0,32,8,6,5,0,11,1,11,0,0,0,26,400988992,2018,2,2017-12-22,,47.0,False,18.0,61.0,7.0,7.0,4.0,20.0,Texas Tech,74.0,0.0,home,2641.0,0,1,0,18.0,61.0,4.0,20.0,7.0,7.0,25.0,49.0,51.0,7.0,18.0,38.9,17.0,34.0,50.0,10,44,16,4,4,13,10
Abilene Christian,2000,50.0,44.4,72.0,26,5,15,11,4,17,2,17,0,0,0,31,400988995,2018,2,2017-12-29,,74.0,False,24.0,48.0,18.0,25.0,8.0,18.0,New Orleans,77.0,10.0,home,2443.0,0,1,0,24.0,48.0,8.0,18.0,18.0,25.0,22.0,44.0,50.0,0.0,6.0,0.0,33.0,47.0,70.2,9,33,16,10,3,17,21
Abilene Christian,2000,45.5,40.9,59.3,37,10,17,6,11,15,0,15,1,1,0,22,400989003,2018,2,2017-12-31,,75.0,True,25.0,55.0,16.0,27.0,9.0,22.0,Sam Houston,72.0,14.0,away,2534.0,0,0,1,25.0,55.0,9.0,22.0,16.0,27.0,24.0,58.0,41.4,9.0,21.0,42.9,15.0,21.0,71.4,10,36,13,7,1,15,23
Abilene Christian,2000,46.7,25.0,70.8,34,4,17,7,2,11,0,11,0,0,0,20,400989008,2018,2,2018-01-04,,79.0,True,28.0,60.0,17.0,24.0,6.0,24.0,McNeese State,74.0,5.0,away,2377.0,0,0,1,28.0,60.0,6.0,24.0,17.0,24.0,27.0,58.0,46.6,8.0,24.0,33.3,12.0,19.0,63.2,5,37,9,4,2,15,18
Abilene Christian,2000,43.9,27.8,53.8,32,11,16,8,5,9,0,9,0,0,0,22,400989015,2018,2,2018-01-06,,70.0,False,29.0,66.0,7.0,13.0,5.0,18.0,Southeastern Louisiana,72.0,5.0,away,2545.0,0,0,0,29.0,66.0,5.0,18.0,7.0,13.0,26.0,50.0,52.0,9.0,17.0,52.9,11.0,18.0,61.1,8,37,14,3,4,19,14
Abilene Christian,2000,54.5,31.6,72.7,25,3,18,7,7,10,0,10,0,0,0,24,400989018,2018,2,2018-01-11,,82.0,True,30.0,55.0,16.0,22.0,6.0,19.0,Houston Christian,74.0,11.0,home,2277.0,0,1,1,30.0,55.0,6.0,19.0,16.0,22.0,25.0,58.0,43.1,10.0,24.0,41.7,14.0,23.0,60.9,13,37,13,3,0,16,20
Abilene Christian,2000,43.4,44.4,65.2,34,10,13,9,0,16,1,16,0,0,0,22,400989024,2018,2,2018-01-13,,69.0,True,23.0,53.0,15.0,23.0,8.0,18.0,Northwestern State,58.0,12.0,home,2466.0,0,1,1,23.0,53.0,8.0,18.0,15.0,23.0,19.0,48.0,39.6,3.0,15.0,20.0,17.0,29.0,58.6,12,37,6,3,5,21,19
Abilene Christian,2000,44.2,35.3,75.9,29,6,15,4,8,22,0,22,1,1,0,29,400989032,2018,2,2018-01-18,,66.0,False,19.0,43.0,22.0,29.0,6.0,17.0,Stephen F. Austin,76.0,11.0,away,2617.0,0,0,0,19.0,43.0,6.0,17.0,22.0,29.0,23.0,59.0,39.0,4.0,17.0,23.5,26.0,36.0,72.2,18,40,10,11,2,14,24
Abilene Christian,2000,50.0,45.5,70.0,40,11,19,6,5,11,0,11,0,0,0,20,400989036,2018,2,2018-01-20,,80.0,True,28.0,56.0,14.0,20.0,10.0,22.0,Central Arkansas,63.0,17.0,home,2110.0,0,1,1,28.0,56.0,10.0,22.0,14.0,20.0,23.0,57.0,40.4,5.0,21.0,23.8,12.0,16.0,75.0,8,29,17,7,7,10,18
