Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Air Force,2005,56.9,52.9,73.7,39,8,18,7,3,13,1,13,0,0,0,14,263142005,2007,2,2006-11-10,2006-11-11 02:30:00+00:00,81.0,True,29.0,51.0,14.0,19.0,9.0,17.0,Arkansas-Pine Bluff,45.0,36.0,home,2029.0,0,1,1,29.0,51.0,9.0,17.0,14.0,19.0,18.0,55.0,32.7,2.0,17.0,11.8,7.0,12.0,58.3,10,29,7,5,6,14,20
Air Force,2005,47.8,34.8,63.0,46,6,13,7,0,19,0,19,0,0,0,16,263180299,2007,2,2006-11-14,2006-11-15 01:00:00+00:00,69.0,True,22.0,46.0,17.0,27.0,8.0,23.0,Long Beach State,68.0,10.0,away,299.0,0,0,1,22.0,46.0,8.0,23.0,17.0,27.0,27.0,64.0,42.2,7.0,22.0,31.8,7.0,14.0,50.0,11,37,13,8,4,15,25
Air Force,2005,54.9,41.7,76.5,32,8,19,7,2,6,0,6,0,0,0,14,263190024,2007,2,2006-11-15,2006-11-16 03:00:00+00:00,79.0,True,28.0,51.0,13.0,17.0,10.0,24.0,Stanford,45.0,34.0,away,24.0,0,0,1,28.0,51.0,10.0,24.0,13.0,17.0,16.0,53.0,30.2,2.0,17.0,11.8,11.0,14.0,78.6,15,34,9,2,2,14,16
Air Force,2005,57.1,52.0,68.2,36,5,21,6,0,13,0,13,0,0,0,18,263220038,2007,2,2006-11-18,2006-11-19 02:00:00+00:00,84.0,True,28.0,49.0,15.0,22.0,13.0,25.0,Colorado,46.0,43.0,away,38.0,0,0,1,28.0,49.0,13.0,25.0,15.0,22.0,18.0,53.0,34.0,2.0,17.0,11.8,8.0,19.0,42.1,11,32,11,6,2,16,22
Air Force,2005,48.8,23.8,84.6,12,2,12,5,3,11,0,11,0,0,0,19,263240150,2007,2,2006-11-20,2006-11-21 00:00:00+00:00,56.0,False,20.0,41.0,11.0,13.0,5.0,21.0,Duke,71.0,0.0,away,150.0,0,0,0,20.0,41.0,5.0,21.0,11.0,13.0,25.0,41.0,61.0,7.0,13.0,53.8,14.0,17.0,82.4,9,33,14,5,0,17,15
Air Force,2005,45.7,43.5,100.0,30,7,14,1,2,5,0,5,0,0,0,12,263252005,2007,2,2006-11-21,2006-11-22 01:00:00+00:00,67.0,True,21.0,46.0,15.0,15.0,10.0,23.0,Texas Tech,53.0,17.0,home,2641.0,0,1,1,21.0,46.0,10.0,23.0,15.0,15.0,19.0,48.0,39.6,7.0,15.0,46.7,8.0,12.0,66.7,11,34,8,5,1,8,19
Air Force,2005,60.0,47.8,70.8,36,7,23,4,0,6,0,6,0,0,0,12,263332005,2007,2,2006-11-29,2006-11-30 02:30:00+00:00,94.0,True,33.0,55.0,17.0,24.0,11.0,23.0,Wake Forest,58.0,38.0,home,154.0,0,1,1,33.0,55.0,11.0,23.0,17.0,24.0,22.0,60.0,36.7,5.0,22.0,22.7,9.0,12.0,75.0,13,32,12,3,5,13,21
Air Force,2005,59.5,35.7,82.9,24,4,10,10,2,14,1,14,0,0,0,17,263362005,2007,2,2006-12-02,2006-12-02 19:00:00+00:00,78.0,True,22.0,37.0,29.0,35.0,5.0,14.0,Purdue Fort Wayne,66.0,12.0,home,2870.0,0,1,1,22.0,37.0,5.0,14.0,29.0,35.0,26.0,51.0,51.0,12.0,25.0,48.0,2.0,5.0,40.0,7,23,20,7,1,18,31
Air Force,2005,52.6,47.8,90.5,25,6,13,3,1,11,0,11,1,1,0,10,263402005,2007,2,2006-12-06,2006-12-07 02:00:00+00:00,70.0,True,20.0,38.0,19.0,21.0,11.0,23.0,Texas-Rio Grande Valley,58.0,12.0,home,292.0,0,1,1,20.0,38.0,11.0,23.0,19.0,21.0,21.0,44.0,47.7,11.0,23.0,47.8,5.0,6.0,83.3,5,21,13,3,1,12,22
Air Force,2005,51.0,51.7,42.9,30,9,24,5,2,8,0,8,0,0,0,11,263472005,2007,2,2006-12-13,2006-12-14 02:00:00+00:00,70.0,True,26.0,51.0,3.0,7.0,15.0,29.0,Norfolk State,47.0,29.0,home,2450.0,0,1,1,26.0,51.0,15.0,29.0,3.0,7.0,15.0,41.0,36.6,4.0,11.0,36.4,13.0,17.0,76.5,7,26,9,4,4,12,13
Air Force,2005,50.0,44.0,100.0,27,8,19,1,1,14,0,14,0,0,0,12,263620045,2007,2,2006-12-28,2006-12-29 04:00:00+00:00,66.0,True,23.0,46.0,9.0,9.0,11.0,25.0,George Washington,52.0,14.0,away,45.0,0,0,1,23.0,46.0,11.0,25.0,9.0,9.0,22.0,54.0,40.7,3.0,12.0,25.0,5.0,5.0,100.0,13,28,13,5,4,12,15
Air Force,2005,60.0,53.3,40.0,29,4,21,9,1,7,1,7,0,0,0,12,263632541,2007,2,2006-12-29,2006-12-30 04:30:00+00:00,78.0,True,30.0,50.0,2.0,5.0,16.0,30.0,Santa Clara,48.0,32.0,away,2541.0,0,0,1,30.0,50.0,16.0,30.0,2.0,5.0,17.0,45.0,37.8,5.0,21.0,23.8,9.0,13.0,69.2,9,28,12,4,1,16,16
Air Force,2005,50.0,55.6,85.7,27,8,20,6,4,7,0,7,0,0,0,11,270030036,2007,2,2007-01-03,2007-01-04 01:35:00+00:00,81.0,True,27.0,54.0,12.0,14.0,15.0,27.0,Colorado State,75.0,12.0,away,36.0,0,0,1,27.0,54.0,15.0,27.0,12.0,14.0,30.0,55.0,54.5,9.0,21.0,42.9,6.0,10.0,60.0,12,35,16,5,6,14,18
Air Force,2005,48.7,25.0,65.2,21,1,8,7,3,8,0,8,0,0,0,13,270062005,2007,2,2007-01-06,2007-01-06 20:30:00+00:00,56.0,True,19.0,39.0,15.0,23.0,3.0,12.0,Nevada-Las Vegas,50.0,9.0,home,2439.0,0,1,1,19.0,39.0,3.0,12.0,15.0,23.0,20.0,56.0,35.7,1.0,18.0,5.6,9.0,11.0,81.8,17,40,7,4,3,14,20
Air Force,2005,51.3,23.5,91.3,24,4,12,7,1,11,0,11,0,0,0,15,270092005,2007,2,2007-01-09,2007-01-10 02:00:00+00:00,65.0,True,20.0,39.0,21.0,23.0,4.0,17.0,New Mexico,57.0,11.0,home,167.0,0,1,1,20.0,39.0,4.0,17.0,21.0,23.0,23.0,45.0,51.1,8.0,20.0,40.0,3.0,9.0,33.3,6,27,13,5,1,12,20
Air Force,2005,41.5,43.8,77.8,24,6,11,5,0,7,0,7,0,0,0,18,270132751,2007,2,2007-01-13,2007-01-13 21:00:00+00:00,58.0,True,22.0,53.0,7.0,9.0,7.0,16.0,Wyoming,56.0,2.0,away,2751.0,0,0,1,22.0,53.0,7.0,16.0,7.0,9.0,20.0,39.0,51.3,3.0,11.0,27.3,13.0,20.0,65.0,5,34,9,4,3,16,14
Air Force,2005,48.1,40.0,94.4,20,8,12,8,0,12,1,12,0,0,0,17,270160254,2007,2,2007-01-16,2007-01-17 03:00:00+00:00,79.0,False,25.0,52.0,17.0,18.0,12.0,30.0,Utah,85.0,0.0,away,254.0,0,0,0,25.0,52.0,12.0,30.0,17.0,18.0,29.0,41.0,70.7,9.0,16.0,56.3,18.0,21.0,85.7,5,26,21,4,4,19,20
Air Force,2005,39.0,34.6,75.0,35,4,13,3,2,11,1,11,0,0,0,13,270202005,2007,2,2007-01-20,2007-01-20 22:00:00+00:00,56.0,True,16.0,41.0,15.0,20.0,9.0,26.0,San Diego State,51.0,9.0,home,21.0,0,1,1,16.0,41.0,9.0,26.0,15.0,20.0,21.0,53.0,39.6,3.0,20.0,15.0,6.0,10.0,60.0,8,34,9,6,2,9,18
Air Force,2005,61.9,50.0,68.4,33,7,15,8,5,15,0,15,0,0,0,18,270232005,2007,2,2007-01-23,2007-01-24 02:00:00+00:00,72.0,True,26.0,42.0,13.0,19.0,7.0,14.0,TCU,39.0,35.0,home,2628.0,0,1,1,26.0,42.0,7.0,14.0,13.0,19.0,14.0,43.0,32.6,5.0,18.0,27.8,6.0,14.0,42.9,10,22,10,2,5,19,18
Air Force,2005,37.8,31.8,78.6,21,2,10,7,2,11,0,11,0,0,0,17,270270252,2007,2,2007-01-27,2007-01-27 23:00:00+00:00,52.0,False,17.0,45.0,11.0,14.0,7.0,22.0,Brigham Young,61.0,6.0,away,252.0,0,0,0,17.0,45.0,7.0,22.0,11.0,14.0,23.0,53.0,43.4,5.0,18.0,27.8,10.0,13.0,76.9,14,43,12,5,2,14,19
Air Force,2005,55.2,47.4,71.4,44,15,21,11,1,7,0,7,0,0,0,19,270342005,2007,2,2007-02-03,2007-02-03 20:00:00+00:00,88.0,True,32.0,58.0,15.0,21.0,9.0,19.0,Wyoming,43.0,50.0,home,2751.0,0,1,1,32.0,58.0,9.0,19.0,15.0,21.0,15.0,49.0,30.6,5.0,19.0,26.3,8.0,14.0,57.1,10,26,7,1,2,18,17
Air Force,2005,36.2,15.8,66.7,25,3,10,4,0,13,1,13,0,0,0,14,270370021,2007,2,2007-02-06,2007-02-07 03:00:00+00:00,41.0,False,17.0,47.0,4.0,6.0,3.0,19.0,San Diego State,62.0,0.0,away,21.0,0,0,0,17.0,47.0,3.0,19.0,4.0,6.0,24.0,51.0,47.1,5.0,16.0,31.3,9.0,11.0,81.8,8,37,15,6,5,12,12
Air Force,2005,41.7,30.0,77.8,42,8,11,7,1,11,1,11,0,0,0,11,270410167,2007,2,2007-02-10,2007-02-10 22:30:00+00:00,60.0,True,20.0,48.0,14.0,18.0,6.0,20.0,New Mexico,51.0,10.0,away,167.0,0,0,1,20.0,48.0,6.0,20.0,14.0,18.0,18.0,56.0,32.1,7.0,23.0,30.4,8.0,11.0,72.7,12,35,13,3,5,12,18
Air Force,2005,50.0,52.9,80.0,27,4,15,10,1,8,0,8,0,0,0,11,270452005,2007,2,2007-02-14,2007-02-15 03:00:00+00:00,69.0,True,22.0,44.0,16.0,20.0,9.0,17.0,Utah,43.0,30.0,home,254.0,0,1,1,22.0,44.0,9.0,17.0,16.0,20.0,18.0,41.0,43.9,4.0,14.0,28.6,3.0,4.0,75.0,2,23,11,4,5,19,19
Air Force,2005,44.4,41.7,77.3,25,10,14,8,2,11,0,11,0,0,0,16,270482005,2007,2,2007-02-17,2007-02-17 22:30:00+00:00,67.0,True,20.0,45.0,17.0,22.0,10.0,24.0,Colorado State,58.0,14.0,home,36.0,0,1,1,20.0,45.0,10.0,24.0,17.0,22.0,20.0,43.0,46.5,5.0,13.0,38.5,13.0,15.0,86.7,9,29,10,8,2,16,24
Air Force,2005,30.2,28.2,77.8,30,5,14,2,1,6,1,6,0,0,0,15,270512439,2007,2,2007-02-20,2007-02-21 03:00:00+00:00,50.0,False,16.0,53.0,7.0,9.0,11.0,39.0,Nevada-Las Vegas,60.0,2.0,away,2439.0,0,0,0,16.0,53.0,11.0,39.0,7.0,9.0,21.0,55.0,38.2,4.0,18.0,22.2,14.0,16.0,87.5,11,47,11,3,4,7,11
Air Force,2005,39.6,29.4,85.7,29,8,15,7,1,17,0,17,0,0,0,22,270552628,2007,2,2007-02-24,2007-02-24 19:00:00+00:00,66.0,False,19.0,48.0,18.0,21.0,10.0,34.0,TCU,71.0,3.0,away,2628.0,0,0,0,19.0,48.0,10.0,34.0,18.0,21.0,25.0,45.0,55.6,6.0,14.0,42.9,15.0,26.0,57.7,6,30,19,7,1,14,19
Air Force,2005,45.5,38.9,73.3,27,7,13,8,1,13,0,13,0,0,0,18,270582005,2007,2,2007-02-27,2007-02-28 02:00:00+00:00,58.0,False,20.0,44.0,11.0,15.0,7.0,18.0,Brigham Young,62.0,11.0,home,252.0,0,1,0,20.0,44.0,7.0,18.0,11.0,15.0,24.0,47.0,51.1,8.0,14.0,57.1,6.0,12.0,50.0,9,30,11,6,4,14,18
Air Force,2005,43.2,33.3,56.3,23,7,11,6,1,3,0,3,0,0,0,21,270672005,2007,2,2007-03-08,2007-03-08 22:30:00+00:00,62.0,False,19.0,44.0,18.0,32.0,6.0,18.0,Wyoming,67.0,1.0,home,2751.0,0,1,0,19.0,44.0,6.0,18.0,18.0,32.0,21.0,39.0,53.8,3.0,14.0,21.4,22.0,27.0,81.5,7,32,7,1,2,11,25
