Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Abilene Christian,2000,47.8,33.3,55.2,34,3,8,8,2,14,0,14,0,0,0,21,400918719,2017,2,2016-11-18,,65.0,True,22.0,46.0,16.0,29.0,5.0,15.0,New Hampshire,57.0,26.0,home,160.0,0,1,1,22.0,46.0,5.0,15.0,16.0,29.0,21.0,60.0,35.0,5.0,24.0,20.8,10.0,17.0,58.8,13,42,6,3,0,18,25
Abilene Christian,2000,56.3,15.4,50.0,26,5,16,8,4,12,0,12,0,0,0,17,400916685,2017,2,2016-11-23,,65.0,False,27.0,48.0,9.0,18.0,2.0,13.0,Charleston Southern,66.0,,away,2127.0,0,0,0,27.0,48.0,2.0,13.0,9.0,18.0,25.0,56.0,44.6,6.0,19.0,31.6,10.0,16.0,62.5,13,34,8,2,3,14,17
Abilene Christian,2000,42.1,31.8,47.4,42,10,6,13,4,22,0,22,0,0,0,32,400916148,2017,2,2016-11-25,,64.0,False,24.0,57.0,9.0,19.0,7.0,22.0,Oklahoma,72.0,10.0,home,201.0,0,1,0,24.0,57.0,7.0,22.0,9.0,19.0,20.0,55.0,36.4,3.0,14.0,21.4,29.0,46.0,63.0,12,40,6,14,5,14,17
Abilene Christian,2000,41.7,33.3,70.0,28,6,13,3,2,14,0,14,0,0,0,20,400919902,2017,2,2016-12-01,,55.0,False,20.0,48.0,7.0,10.0,8.0,24.0,New Mexico,64.0,5.0,home,167.0,0,1,0,20.0,48.0,8.0,24.0,7.0,10.0,22.0,48.0,45.8,2.0,11.0,18.2,18.0,25.0,72.0,9,33,16,4,1,8,9
Abilene Christian,2000,56.0,57.1,80.8,33,6,10,4,5,14,0,14,0,0,0,23,400916711,2017,2,2016-12-03,,85.0,True,28.0,50.0,21.0,26.0,8.0,14.0,Charleston Southern,82.0,11.0,home,2127.0,0,1,1,28.0,50.0,8.0,14.0,21.0,26.0,27.0,64.0,42.2,12.0,31.0,38.7,16.0,27.0,59.3,15,33,10,4,4,10,20
Abilene Christian,2000,56.9,47.1,80.0,28,2,22,8,0,16,0,16,0,0,0,25,400916347,2017,2,2016-12-18,,86.0,False,37.0,65.0,4.0,5.0,8.0,17.0,Sacramento State,88.0,9.0,home,16.0,0,1,0,37.0,65.0,8.0,17.0,4.0,5.0,29.0,58.0,50.0,9.0,25.0,36.0,21.0,30.0,70.0,9,35,21,9,4,18,11
Abilene Christian,2000,33.8,27.8,66.7,33,6,13,8,6,14,0,14,0,0,0,14,400915788,2017,2,2016-12-20,,51.0,False,22.0,65.0,2.0,3.0,5.0,18.0,San Francisco,86.0,2.0,home,2539.0,0,1,0,22.0,65.0,5.0,18.0,2.0,3.0,31.0,66.0,47.0,15.0,30.0,50.0,9.0,14.0,64.3,11,49,18,9,3,15,13
Abilene Christian,2000,44.7,35.3,78.3,27,9,12,6,2,17,0,17,0,0,0,30,400921969,2017,2,2016-12-30,,66.0,False,21.0,47.0,18.0,23.0,6.0,17.0,New Orleans,75.0,9.0,home,2443.0,0,1,0,21.0,47.0,6.0,17.0,18.0,23.0,25.0,51.0,49.0,1.0,14.0,7.1,24.0,35.0,68.6,15,37,16,5,6,13,18
Abilene Christian,2000,42.0,33.3,46.2,22,8,10,0,3,15,0,15,0,0,0,22,400921970,2017,2,2016-12-31,,53.0,False,21.0,50.0,6.0,13.0,5.0,15.0,Southeastern Louisiana,75.0,1.0,home,2545.0,0,1,0,21.0,50.0,5.0,15.0,6.0,13.0,29.0,52.0,55.8,8.0,20.0,40.0,9.0,14.0,64.3,10,35,20,5,5,14,14
Abilene Christian,2000,48.3,42.3,35.0,26,5,19,12,1,8,0,8,0,0,0,22,400921971,2017,2,2017-01-06,,76.0,False,29.0,60.0,7.0,20.0,11.0,26.0,Central Arkansas,81.0,5.0,away,2110.0,0,0,0,29.0,60.0,11.0,26.0,7.0,20.0,28.0,56.0,50.0,8.0,23.0,34.8,17.0,22.0,77.3,10,44,16,6,3,19,19
Abilene Christian,2000,48.8,50.0,67.6,28,6,13,8,5,16,0,16,0,0,0,19,400921972,2017,2,2017-01-07,,69.0,True,20.0,41.0,23.0,34.0,6.0,12.0,Stephen F. Austin,60.0,12.0,away,2617.0,0,0,1,20.0,41.0,6.0,12.0,23.0,34.0,23.0,55.0,41.8,8.0,21.0,38.1,6.0,13.0,46.2,14,37,12,5,2,21,25
Abilene Christian,2000,36.6,29.4,60.0,28,6,8,7,2,19,0,19,1,1,0,27,400921973,2017,2,2017-01-13,,50.0,False,15.0,41.0,15.0,25.0,5.0,17.0,Southeastern Louisiana,56.0,12.0,away,2545.0,0,0,0,15.0,41.0,5.0,17.0,15.0,25.0,19.0,51.0,37.3,6.0,22.0,27.3,12.0,23.0,52.2,17,42,13,7,2,21,21
Abilene Christian,2000,42.6,35.3,83.3,37,13,14,8,5,18,0,18,0,0,0,23,400921974,2017,2,2017-01-14,,67.0,True,23.0,54.0,15.0,18.0,6.0,17.0,Lamar,64.0,4.0,away,2320.0,0,0,1,23.0,54.0,6.0,17.0,15.0,18.0,21.0,50.0,42.0,2.0,18.0,11.1,20.0,29.0,69.0,11,32,8,8,3,14,18
Abilene Christian,2000,39.0,40.0,41.7,35,11,13,4,4,14,2,14,0,0,0,18,400921975,2017,2,2017-01-20,,59.0,False,23.0,59.0,5.0,12.0,8.0,20.0,Nicholls State,62.0,4.0,home,2447.0,0,1,0,23.0,59.0,8.0,20.0,5.0,12.0,20.0,48.0,41.7,6.0,23.0,26.1,16.0,22.0,72.7,8,36,9,5,13,16,13
Abilene Christian,2000,53.2,40.0,53.8,25,6,15,7,2,10,0,10,0,0,0,20,400921976,2017,2,2017-01-27,,79.0,False,33.0,62.0,7.0,13.0,6.0,15.0,Incarnate Word,82.0,7.0,home,2916.0,0,1,0,33.0,62.0,6.0,15.0,7.0,13.0,26.0,50.0,52.0,9.0,25.0,36.0,21.0,25.0,84.0,6,33,12,4,2,14,14
Abilene Christian,2000,38.3,31.6,60.0,27,9,11,10,1,10,1,10,0,0,0,22,400921977,2017,2,2017-01-29,,60.0,False,18.0,47.0,18.0,30.0,6.0,19.0,Texas A&M-Corpus Christi,72.0,0.0,home,357.0,0,1,0,18.0,47.0,6.0,19.0,18.0,30.0,25.0,50.0,50.0,8.0,17.0,47.1,14.0,19.0,73.7,10,35,20,5,4,13,23
