Team 1,Team 2,Date,Site,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr,Game ID
Tennessee-Martin,Youngstown State,2022-11-09,away,0,73.9795918367347,101.36205258156478,0.3064516129032258,0.3950953678474114,0.4456521739130434,0.35,0.1013620525815647,0.0666666666666666,0.3467741935483871,0.2168367346938775,0.2666666666666666,0.3870967741935484,0.4436619718309859,0.2153943617358251,0.7333333333333333,0.323943661971831,157.325,0.5774647887323944,113.40523882896764,102.43439772368004,0.208955223880597,0.6205733558178752,0.6486486486486487,0.3684210526315789,0.0632311097059753,0.1388888888888889,0.6194029850746269,0.2465331278890601,0.4193548387096774,0.2238805970149253,0.4855072463768116,0.2529244388239013,0.5806451612903226,0.2463768115942029,160.2,0.4782608695652174,401488539.0
Rutgers,Sacred Heart,2022-11-10,home,1,101.83299389002036,47.65146358066712,0.2777777777777778,0.4767959313413858,0.5476190476190477,0.6451612903225806,0.1906058543226684,0.1538461538461538,0.4861111111111111,0.1493550577053632,0.3555555555555555,0.1944444444444444,0.2446808510638297,0.1497617426820966,0.6444444444444445,0.4680851063829787,147.10000000000002,0.4468085106382978,105.15534312051896,95.04412763068568,0.463768115942029,0.5186931626810374,0.5131578947368421,0.7,0.108621860149355,0.0975609756097561,0.5072463768115942,0.1502219187435985,0.2926829268292683,0.1594202898550724,0.4672131147540984,0.1493550577053632,0.7073170731707317,0.2295081967213114,146.875,0.3278688524590163,401483412.0
Massachusetts,Towson,2022-11-10,home,0,127.54409769335142,91.96980096087852,0.2676056338028169,0.6127770534550195,0.6233766233766234,0.631578947368421,0.1098146877144818,0.1351351351351351,0.5985915492957746,0.1763907734056987,0.4444444444444444,0.1690140845070422,0.4772727272727273,0.1784488675360329,0.5555555555555556,0.0909090909090909,146.55,0.4393939393939394,100.0373273609556,94.58428680396644,0.2264150943396226,0.5319571258435887,0.4848484848484848,0.5652173913043478,0.091533180778032,0.1363636363636363,0.4622641509433962,0.1941022769690183,0.28125,0.3962264150943396,0.4528301886792453,0.198321891685736,0.71875,0.3396226415094339,132.52499999999998,0.5849056603773585,401487698.0
Quinnipiac,Stonehill,2022-11-10,away,1,91.93825042881647,84.03930870891223,0.3225806451612903,0.4534686971235194,0.4835164835164835,0.3076923076923077,0.1491019993222636,0.1162790697674418,0.4677419354838709,0.2058319039451115,0.3636363636363636,0.4032258064516129,0.3833333333333333,0.2033209081667231,0.6363636363636364,0.4833333333333333,146.65,0.2833333333333333,72.5319006044325,112.24826675470456,0.3777777777777777,0.4869251577998196,0.3529411764705882,0.5625,0.1320567844172994,0.0512820512820512,0.4111111111111111,0.3223640026863666,0.15625,0.4888888888888889,0.5,0.3169362826015187,0.84375,0.492063492063492,150.175,0.3809523809523809,401492440.0
Lehigh,Virginia Tech,2022-11-10,away,0,98.3942603348138,123.7538673083534,0.3333333333333333,0.5204192265992049,0.4,0.5925925925925926,0.096253007906497,0.0465116279069767,0.492063492063492,0.1639904338913563,0.2162162162162162,0.2063492063492063,0.6,0.1650051564111378,0.7837837837837838,0.5636363636363636,145.89999999999998,0.2181818181818181,138.68613138686132,81.05225737646641,0.4666666666666667,0.6834532374100719,0.6363636363636364,0.5454545454545454,0.0710984713828652,0.0869565217391304,0.6666666666666666,0.145985401459854,0.3928571428571428,0.3333333333333333,0.4193548387096774,0.1421969427657305,0.6071428571428571,0.1129032258064516,138.825,0.2580645161290322,401482992.0
Arizona State,Northern Arizona,2022-11-10,home,1,80.75545424943014,75.44757033248082,0.3870967741935484,0.4091059056417024,0.5806451612903226,0.4761904761904761,0.1023017902813299,0.2682926829268293,0.3870967741935484,0.2735265385867795,0.4,0.4677419354838709,0.3636363636363636,0.268542199488491,0.6,0.5818181818181818,154.97500000000002,0.2545454545454545,83.1129580657348,112.65432098765432,0.5,0.415564790328674,0.4457831325301205,0.6842105263157895,0.0771604938271605,0.0526315789473684,0.3833333333333333,0.1813373630525122,0.2666666666666666,0.2166666666666666,0.5153846153846153,0.1851851851851852,0.7333333333333333,0.123076923076923,130.975,0.4153846153846154,401483432.0
Texas Southern,Texas Tech,2022-11-10,away,0,91.44893111638956,113.42155009451798,0.2238805970149253,0.4683698296836983,0.3333333333333333,0.1538461538461538,0.1008191556395715,0.0,0.4328358208955223,0.1187648456057007,0.1632653061224489,0.4776119402985074,0.7156862745098039,0.1260239445494644,0.8367346938775511,0.5098039215686274,163.55,0.4509803921568627,109.85703536493602,73.71192177510343,0.391304347826087,0.6465899025686448,0.581081081081081,0.7916666666666666,0.0752162467092892,0.1612903225806451,0.5978260869565217,0.3009781790820165,0.3846153846153846,0.4782608695652174,0.3582089552238806,0.3008649868371568,0.6153846153846154,0.0149253731343283,132.925,0.5373134328358209,401483320.0
Creighton,North Dakota,2022-11-10,home,1,109.67250571210968,88.36524300441826,0.5151515151515151,0.4955264969029593,0.527027027027027,0.4230769230769231,0.0736377025036818,0.1666666666666666,0.4545454545454545,0.0761614623000761,0.2926829268292683,0.2121212121212121,0.4913793103448275,0.0736377025036818,0.7073170731707317,0.0689655172413793,133.55,0.3793103448275862,101.8409714061888,88.88888888888889,0.4,0.5173099880620772,0.5205479452054794,0.6666666666666666,0.0467836257309941,0.1463414634146341,0.47,0.2036819428123776,0.3870967741935484,0.54,0.3852459016393442,0.2027290448343079,0.6129032258064516,0.2459016393442623,127.95,0.3278688524590163,401485107.0
Brown,Colgate,2022-11-10,home,0,90.84556254367575,114.08199643493762,0.3461538461538461,0.5367464905037159,0.4545454545454545,0.391304347826087,0.1283422459893048,0.0689655172413793,0.5,0.2236198462613557,0.1612903225806451,0.3461538461538461,0.6346153846153846,0.2281639928698752,0.8387096774193549,0.2884615384615384,141.675,0.4423076923076923,100.3170942634765,102.92397660818712,0.25,0.6150583244962885,0.5862068965517241,0.6,0.0818713450292397,0.0454545454545454,0.5803571428571429,0.2190833093110406,0.125,0.5535714285714286,0.5846153846153846,0.2222222222222222,0.875,0.3076923076923077,172.225,0.3230769230769231,401487328.0
Nebraska,Omaha,2022-11-10,home,1,113.5057471264368,94.6236559139785,0.3384615384615385,0.5440771349862259,0.6197183098591549,0.4,0.028673835125448,0.0769230769230769,0.5153846153846153,0.1867816091954023,0.4210526315789473,0.2461538461538461,0.5818181818181818,0.1863799283154122,0.5789473684210527,0.1818181818181818,139.35,0.5272727272727272,90.10911650827173,128.75226039783,0.3684210526315789,0.4846648996592199,0.3943661971830985,0.4545454545454545,0.0578661844484629,0.0212765957446808,0.4298245614035088,0.1830341429074269,0.2285714285714285,0.3333333333333333,0.5869565217391305,0.1880650994575045,0.7714285714285715,0.217391304347826,140.15,0.3188405797101449,401483379.0
