Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2017-11-10,,Hillsdale,REG (Non-Conf),W,86,68,,32,61,.525,4,16,.250,28,45,.622,.557,18,28,.643,10,23,34,11,4,2,17,23,26,71,.366,10,29,.345,16,42,.381,.437,6,11,.545,11,23,34,11,4,2,17,23
1,Abilene Christian,2,2017-11-13,@,Arkansas State,REG (Non-Conf),L,69,83,,25,49,.510,3,17,.176,22,32,.688,.541,16,20,.800,6,20,29,9,7,1,14,19,28,50,.560,7,14,.500,21,36,.583,.630,20,26,.769,9,20,29,9,7,1,14,19
2,Abilene Christian,3,2017-11-16,,Howard Payne,REG (Non-Conf),W,112,62,,42,67,.627,9,19,.474,33,48,.688,.694,19,24,.792,11,16,21,6,2,0,18,20,16,51,.314,6,29,.207,10,22,.455,.373,24,30,.800,5,16,21,6,2,0,18,20
3,Abilene Christian,4,2017-11-20,,Lipscomb,REG (Non-Conf),L,67,75,,25,56,.446,6,20,.300,19,36,.528,.500,11,18,.611,6,28,34,13,6,0,18,21,27,54,.500,7,21,.333,20,33,.606,.565,14,20,.700,6,28,34,13,6,0,18,21
4,Abilene Christian,5,2017-11-24,@,Campbell,REG (Non-Conf),W,85,80,OT,33,65,.508,8,14,.571,25,51,.490,.569,11,11,1.000,4,23,28,15,4,7,14,14,27,55,.491,6,20,.300,21,35,.600,.545,20,25,.800,5,23,28,15,4,7,14,14
5,Abilene Christian,6,2017-11-25,N,USC Upstate,REG (Non-Conf),L,78,88,,27,58,.466,8,23,.348,19,35,.543,.534,16,17,.941,10,21,27,17,7,2,12,12,29,54,.537,13,29,.448,16,25,.640,.657,17,18,.944,6,21,27,17,7,2,12,12
6,Abilene Christian,7,2017-11-26,N,Bowling Green,REG (Non-Conf),W,88,83,,34,64,.531,6,16,.375,28,48,.583,.578,14,18,.778,10,20,37,9,4,3,8,18,30,72,.417,8,24,.333,22,48,.458,.472,15,22,.682,17,20,37,9,4,3,8,18
7,Abilene Christian,8,2017-12-02,,Schreiner,REG (Non-Conf),W,71,43,,30,65,.462,4,19,.211,26,46,.565,.492,7,14,.500,6,26,35,6,5,3,26,16,11,45,.244,6,24,.250,5,21,.238,.311,15,27,.556,9,26,35,6,5,3,26,16
8,Abilene Christian,9,2017-12-06,@,Air Force,REG (Non-Conf),W,62,58,,23,54,.426,9,25,.360,14,29,.483,.509,7,15,.467,7,28,33,15,5,2,20,14,25,51,.490,3,18,.167,22,33,.667,.520,5,8,.625,5,28,33,15,5,2,20,14
9,Abilene Christian,10,2017-12-09,,Texas State,REG (Non-Conf),W,72,68,,26,58,.448,10,29,.345,16,29,.552,.534,10,17,.588,6,26,33,13,3,3,11,17,26,56,.464,6,16,.375,20,40,.500,.518,10,17,.588,7,26,33,13,3,3,11,17
10,Abilene Christian,11,2017-12-17,@,Lipscomb,REG (Non-Conf),L,65,67,,25,62,.403,6,21,.286,19,41,.463,.452,9,11,.818,7,25,34,14,8,2,29,14,20,52,.385,3,20,.150,17,32,.531,.413,24,31,.774,9,25,34,14,8,2,29,14
11,Abilene Christian,12,2017-12-19,,Arl Baptist,REG (Non-Conf),W,109,60,,45,70,.643,15,32,.469,30,38,.789,.750,4,6,.667,12,13,22,10,7,2,21,9,23,61,.377,7,17,.412,16,44,.364,.434,7,13,.538,9,13,22,10,7,2,21,9
12,Abilene Christian,13,2017-12-22,@,Texas Tech,REG (Non-Conf),L,47,74,,18,61,.295,4,20,.200,14,41,.341,.328,7,7,1.000,5,32,40,16,4,4,12,10,25,49,.510,7,18,.389,18,31,.581,.582,17,34,.500,8,32,40,16,4,4,12,10
13,Abilene Christian,14,2017-12-28,@,New Orleans,REG (Conf),L,74,77,,24,48,.500,8,18,.444,16,30,.533,.583,18,25,.720,4,22,27,16,10,3,16,21,22,44,.500,0,6,.000,22,38,.579,.500,33,47,.702,5,22,27,16,10,3,16,21
14,Abilene Christian,15,2017-12-30,,Sam Houston State,REG (Conf),W,75,72,,25,55,.455,9,22,.409,16,33,.485,.536,16,27,.593,8,25,30,13,7,1,15,23,24,58,.414,9,21,.429,15,37,.405,.491,15,21,.714,5,25,30,13,7,1,15,23
15,Abilene Christian,16,2018-01-03,,McNeese State,REG (Conf),W,79,74,,28,60,.467,6,24,.250,22,36,.611,.517,17,24,.708,4,31,36,9,4,2,15,18,27,58,.466,8,24,.333,19,34,.559,.534,12,19,.632,5,31,36,9,4,2,15,18
16,Abilene Christian,17,2018-01-06,,Southeastern Louisiana,REG (Conf),L,70,72,,29,66,.439,5,18,.278,24,48,.500,.477,7,13,.538,9,29,36,14,3,4,19,14,26,50,.520,9,17,.529,17,33,.515,.610,11,18,.611,7,29,36,14,3,4,19,14
17,Abilene Christian,18,2018-01-10,@,Houston Baptist,REG (Conf),W,82,74,,30,55,.545,6,19,.316,24,36,.667,.600,16,22,.727,3,23,34,13,3,0,16,20,25,58,.431,10,24,.417,15,34,.441,.517,14,23,.609,11,23,34,13,3,0,16,20
18,Abilene Christian,19,2018-01-13,@,Northwestern State,REG (Conf),W,69,58,,23,53,.434,8,18,.444,15,35,.429,.509,15,23,.652,7,25,37,6,3,5,21,19,19,48,.396,3,15,.200,16,33,.485,.427,17,29,.586,12,25,37,6,3,5,21,19
19,Abilene Christian,20,2018-01-17,,Stephen F. Austin,REG (Conf),L,66,76,,19,43,.442,6,17,.353,13,26,.500,.512,22,29,.759,5,18,33,10,11,2,13,23,23,59,.390,4,17,.235,19,42,.452,.424,26,36,.722,15,18,33,10,11,2,13,23
20,Abilene Christian,23,2018-01-31,,Lamar,REG (Conf),W,74,69,,26,49,.531,8,19,.421,18,30,.600,.612,14,21,.667,3,22,32,13,10,0,13,20,21,60,.350,10,27,.370,11,33,.333,.433,17,28,.607,10,22,32,13,10,0,13,20
21,Abilene Christian,24,2018-02-03,@,Sam Houston State,REG (Conf),L,77,84,,28,52,.538,7,18,.389,21,34,.618,.606,14,21,.667,9,18,25,17,6,1,11,18,26,54,.481,6,18,.333,20,36,.556,.537,26,32,.813,7,18,25,17,6,1,11,18
22,Abilene Christian,25,2018-02-07,,Nicholls State,REG (Conf),L,65,69,,25,60,.417,3,21,.143,22,39,.564,.442,12,16,.750,14,21,37,13,8,1,15,18,26,60,.433,9,27,.333,17,33,.515,.508,8,15,.533,16,21,37,13,8,1,15,18
23,Abilene Christian,26,2018-02-10,,Incarnate Word,REG (Conf),W,80,69,,31,62,.500,9,24,.375,22,38,.579,.573,9,14,.643,16,17,22,6,9,4,13,15,18,45,.400,7,20,.350,11,25,.440,.478,26,36,.722,5,17,22,6,9,4,13,15
