Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Air Force,1,2011-11-11,,Army,REG (Non-Conf),W,87,71,,29,52,.558,3,14,.214,26,38,.684,.587,26,36,.722,7,18,24,13,11,0,24,29,23,58,.397,6,29,.207,17,29,.586,.448,19,26,.731,6,18,24,13,11,0,24,29
1,Air Force,2,2011-11-12,N,VMI,REG (Non-Conf),W,75,65,,28,56,.500,6,22,.273,22,34,.647,.554,13,18,.722,11,19,25,11,6,4,14,21,22,56,.393,10,30,.333,12,26,.462,.482,11,15,.733,6,19,25,11,6,4,14,21
2,Air Force,3,2011-11-18,,Western Co.,REG (Non-Conf),W,65,37,,24,55,.436,10,35,.286,14,20,.700,.527,7,12,.583,6,24,32,11,1,0,18,12,15,48,.313,5,22,.227,10,26,.385,.365,2,10,.200,8,24,32,11,1,0,18,12
3,Air Force,4,2011-11-23,,Colorado,REG (Non-Conf),L,73,76,OT,25,62,.403,5,19,.263,20,43,.465,.444,18,25,.720,10,30,42,15,1,4,17,22,29,60,.483,10,24,.417,19,36,.528,.567,8,14,.571,12,30,42,15,1,4,17,22
4,Air Force,5,2011-12-03,@,Drake,REG (Non-Conf),L,60,62,,16,41,.390,6,15,.400,10,26,.385,.463,22,35,.629,4,25,30,8,9,4,13,26,18,45,.400,6,20,.300,12,25,.480,.467,20,31,.645,5,25,30,8,9,4,13,26
5,Air Force,6,2011-12-07,,Wright State,REG (Non-Conf),W,55,34,,19,45,.422,9,25,.360,10,20,.500,.522,8,12,.667,3,22,31,4,5,5,16,14,9,46,.196,2,19,.105,7,27,.259,.217,14,18,.778,9,22,31,4,5,5,16,14
6,Air Force,7,2011-12-10,,Arkansas–Pine Bluff,REG (Non-Conf),W,63,51,,24,42,.571,10,23,.435,14,19,.737,.690,5,10,.500,3,16,23,10,9,2,13,15,16,51,.314,6,19,.316,10,32,.313,.373,13,17,.765,7,16,23,10,9,2,13,15
7,Air Force,8,2011-12-17,,Maryland Eastern Shore,REG (Non-Conf),W,64,60,,22,46,.478,6,18,.333,16,28,.571,.543,14,20,.700,8,19,36,13,6,3,16,22,23,53,.434,7,19,.368,16,34,.471,.500,7,16,.438,17,19,36,13,6,3,16,22
8,Air Force,9,2011-12-22,@,Gonzaga,REG (Non-Conf),L,60,70,,22,42,.524,6,16,.375,16,26,.615,.595,10,15,.667,6,13,23,12,10,1,8,12,21,45,.467,8,18,.444,13,27,.481,.556,20,27,.741,10,13,23,12,10,1,8,12
9,Air Force,10,2011-12-29,N,Wagner,REG (Non-Conf),L,61,72,,18,41,.439,7,13,.538,11,28,.393,.524,18,22,.818,4,20,36,16,2,5,9,22,21,52,.404,10,29,.345,11,23,.478,.500,20,20,1.000,16,20,36,16,2,5,9,22
