Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2019-11-05,,Arl Baptist,REG (Non-Conf),W,90,39,,36,75,.480,6,27,.222,30,48,.625,.520,12,17,.706,12,27,34,3,3,3,28,17,12,49,.245,4,21,.190,8,28,.286,.286,11,18,.611,7,27,34,3,3,3,28,17
1,Abilene Christian,2,2019-11-10,@,Drexel,REG (Non-Conf),L,83,86,OT,30,65,.462,9,25,.360,21,40,.525,.531,14,20,.700,3,31,39,15,4,5,22,17,27,52,.519,8,20,.400,19,32,.594,.596,24,32,.750,8,31,39,15,4,5,22,17
2,Abilene Christian,3,2019-11-16,,Pepperdine,REG (Non-Conf),L,69,73,,20,50,.400,5,18,.278,15,32,.469,.450,24,33,.727,9,21,26,9,9,1,17,22,23,51,.451,7,21,.333,16,30,.533,.520,20,23,.870,5,21,26,9,9,1,17,22
3,Abilene Christian,4,2019-11-18,@,UNLV,REG (Non-Conf),L,58,72,,22,59,.373,7,26,.269,15,33,.455,.432,7,9,.778,9,22,29,14,4,4,12,13,27,50,.540,6,22,.273,21,28,.750,.600,12,15,.800,7,22,29,14,4,4,12,13
4,Abilene Christian,5,2019-11-21,,Champion Christian,REG (Non-Conf),W,90,58,,33,67,.493,7,25,.280,26,42,.619,.545,17,23,.739,16,20,25,7,7,1,23,23,16,45,.356,7,16,.438,9,29,.310,.433,19,21,.905,5,20,25,7,7,1,23,23
5,Abilene Christian,6,2019-11-25,@,Texas State,REG (Non-Conf),L,56,61,,19,56,.339,5,13,.385,14,43,.326,.384,13,17,.765,11,23,28,12,9,5,13,14,24,50,.480,5,15,.333,19,35,.543,.530,8,17,.471,5,23,28,12,9,5,13,14
6,Abilene Christian,7,2019-11-29,@,SMU,REG (Non-Conf),L,51,70,,17,52,.327,5,19,.263,12,33,.364,.375,12,15,.800,7,27,31,15,7,5,14,16,26,42,.619,7,17,.412,19,25,.760,.702,11,14,.786,4,27,31,15,7,5,14,16
7,Abilene Christian,8,2019-12-05,,Southeast Missouri State,REG (Non-Conf),W,73,64,,23,56,.411,5,19,.263,18,37,.486,.455,22,27,.815,7,23,30,6,7,3,13,19,19,54,.352,2,13,.154,17,41,.415,.370,24,28,.857,7,23,30,6,7,3,13,19
8,Abilene Christian,9,2019-12-07,,Dallas Christian,REG (Non-Conf),W,102,34,,43,79,.544,6,27,.222,37,52,.712,.582,10,16,.625,16,20,27,3,3,0,25,15,12,50,.240,2,15,.133,10,35,.286,.260,8,15,.533,7,20,27,3,3,0,25,15
9,Abilene Christian,10,2019-12-12,,Howard Payne,REG (Non-Conf),W,105,36,,38,78,.487,15,41,.366,23,37,.622,.583,14,17,.824,21,21,25,4,4,2,35,18,12,42,.286,4,22,.182,8,20,.400,.333,8,9,.889,4,21,25,4,4,2,35,18
