Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Air Force,1,2010-11-14,,UC-Colo. Springs,REG (Non-Conf),W,66,53,,22,51,.431,8,19,.421,14,32,.438,.510,14,22,.636,12,22,33,8,6,4,12,22,18,53,.340,1,14,.071,17,39,.436,.349,16,17,.941,11,22,33,8,6,4,12,22
1,Air Force,2,2010-11-17,,Colorado Col.,REG (Non-Conf),L,57,60,OT,19,51,.373,3,15,.200,16,36,.444,.402,16,17,.941,5,26,36,12,5,1,11,16,19,58,.328,6,18,.333,13,40,.325,.379,16,23,.696,10,26,36,12,5,1,11,16
2,Air Force,3,2010-11-20,,Tennessee State,REG (Non-Conf),W,87,72,,31,50,.620,6,15,.400,25,35,.714,.680,19,29,.655,7,15,28,12,7,2,15,24,21,57,.368,9,35,.257,12,22,.545,.447,21,23,.913,13,15,28,12,7,2,15,24
3,Air Force,4,2010-11-24,@,Wofford,REG (Non-Conf),W,72,66,OT,24,47,.511,6,12,.500,18,35,.514,.574,18,29,.621,2,24,45,13,8,3,18,21,23,68,.338,8,25,.320,15,43,.349,.397,12,21,.571,21,24,45,13,8,3,18,21
4,Air Force,5,2010-12-02,,Cal State Northridge,REG (Non-Conf),W,72,63,,21,46,.457,8,22,.364,13,24,.542,.543,22,30,.733,3,26,47,17,5,4,19,25,23,68,.338,10,31,.323,13,37,.351,.412,7,14,.500,21,26,47,17,5,4,19,25
5,Air Force,6,2010-12-05,,Evansville,REG (Non-Conf),W,57,56,,21,44,.477,8,20,.400,13,24,.542,.568,7,11,.636,2,23,32,17,3,0,13,17,21,55,.382,10,18,.556,11,37,.297,.473,4,6,.667,9,23,32,17,3,0,13,17
6,Air Force,7,2010-12-08,@,Wright State,REG (Non-Conf),L,61,76,,22,36,.611,1,6,.167,21,30,.700,.625,16,21,.762,1,11,19,13,7,0,12,20,24,50,.480,11,22,.500,13,28,.464,.590,17,21,.810,8,11,19,13,7,0,12,20
7,Air Force,8,2010-12-11,,North Carolina Central,REG (Non-Conf),W,73,56,,25,52,.481,4,16,.250,21,36,.583,.519,19,26,.731,8,20,27,12,6,5,14,21,20,58,.345,6,21,.286,14,37,.378,.397,10,12,.833,7,20,27,12,6,5,14,21
8,Air Force,9,2010-12-18,,Arkansas–Pine Bluff,REG (Non-Conf),W,63,52,,23,48,.479,3,12,.250,20,36,.556,.510,14,23,.609,7,22,28,13,5,2,14,20,17,48,.354,14,29,.483,3,19,.158,.500,4,8,.500,6,22,28,13,5,2,14,20
9,Air Force,10,2010-12-22,@,Northern Arizona,REG (Non-Conf),L,63,74,,22,52,.423,3,15,.200,19,37,.514,.452,16,24,.667,9,25,33,16,4,2,11,22,24,44,.545,4,13,.308,20,31,.645,.591,22,29,.759,8,25,33,16,4,2,11,22
