Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
154,Alabama State,20,2013-01-21,,Alcorn State,REG (Conf),W,49,46,,18,50,.360,4,15,.267,14,35,.400,.400,9,15,.600,10,24,34,6,9,4,19,16,15,51,.294,4,20,.200,11,31,.355,.333,12,16,.750,10,24,34,6,9,4,19,16
155,Alabama State,23,2013-02-02,,Arkansas–Pine Bluff,REG (Conf),L,77,81,,26,57,.456,6,18,.333,20,39,.513,.509,19,27,.704,13,13,27,22,12,5,11,22,30,62,.484,9,19,.474,21,43,.488,.556,12,20,.600,14,13,27,22,12,5,11,22
156,Alabama State,24,2013-02-04,,Mississippi Valley State,REG (Conf),W,73,65,,27,57,.474,3,10,.300,24,47,.511,.500,16,24,.667,16,17,27,7,3,3,11,22,24,59,.407,6,16,.375,18,43,.419,.458,11,18,.611,10,17,27,7,3,3,11,22
157,Alabama State,25,2013-02-09,,Alabama A&M,REG (Conf),W,69,62,,26,46,.565,2,9,.222,24,37,.649,.587,15,32,.469,12,17,23,8,6,3,13,27,22,53,.415,7,21,.333,15,32,.469,.481,11,18,.611,6,17,23,8,6,3,13,27
158,Alabama State,26,2013-02-16,@,Southern,REG (Conf),L,49,58,,21,67,.313,4,22,.182,17,45,.378,.343,3,9,.333,16,28,33,8,7,3,10,16,18,50,.360,8,22,.364,10,28,.357,.440,14,21,.667,5,28,33,8,7,3,10,16
159,Alabama State,27,2013-02-18,@,Alcorn State,REG (Conf),W,66,58,,22,44,.500,6,11,.545,16,33,.485,.568,16,26,.615,10,14,22,9,10,1,7,20,18,54,.333,4,24,.167,14,30,.467,.370,18,31,.581,8,14,22,9,10,1,7,20
160,Alabama State,28,2013-02-23,,Prairie View A&M,REG (Conf),L,56,65,,21,56,.375,9,24,.375,12,32,.375,.455,5,10,.500,16,16,24,8,14,2,9,12,23,57,.404,6,16,.375,17,41,.415,.456,13,19,.684,8,16,24,8,14,2,9,12
161,Alabama State,29,2013-02-25,,Texas Southern,REG (Conf),L,50,70,,21,62,.339,5,12,.417,16,50,.320,.379,3,6,.500,9,28,40,10,6,6,9,8,29,65,.446,7,23,.304,22,42,.524,.500,5,11,.455,12,28,40,10,6,6,9,8
162,Alabama State,30,2013-02-28,@,Jackson State,REG (Conf),L,65,70,OT,26,56,.464,6,20,.300,20,36,.556,.518,7,17,.412,9,25,35,6,11,0,9,19,24,59,.407,2,18,.111,22,41,.537,.424,20,22,.909,10,25,35,6,11,0,9,19
163,Alabama State,31,2013-03-02,@,Grambling State,REG (Conf),W,74,62,,26,57,.456,5,13,.385,21,44,.477,.500,17,27,.630,10,21,41,13,4,3,13,21,23,63,.365,4,14,.286,19,49,.388,.397,12,22,.545,20,21,41,13,4,3,13,21
165,Alabama State,32,2013-03-14,N,Jackson State,CTOURN,L,59,66,,23,56,.411,2,15,.133,21,41,.512,.429,11,20,.550,12,25,38,10,9,3,10,19,19,52,.365,5,21,.238,14,31,.452,.413,23,27,.852,13,25,38,10,9,3,10,19
167,Albany (NY),1,2012-11-09,,Duquesne,REG (Non-Conf),W,69,66,,28,61,.459,7,19,.368,21,42,.500,.516,6,7,.857,13,17,35,8,4,6,13,13,22,58,.379,7,28,.250,15,30,.500,.440,15,23,.652,18,17,35,8,4,6,13,13
168,Albany (NY),2,2012-11-11,@,Ohio State,REG (Non-Conf),L,60,82,,16,45,.356,6,22,.273,10,23,.435,.422,22,30,.733,9,20,28,18,5,4,11,20,32,56,.571,12,20,.600,20,36,.556,.679,6,13,.462,8,20,28,18,5,4,11,20
169,Albany (NY),3,2012-11-13,@,Washington,REG (Non-Conf),W,63,62,,23,51,.451,7,19,.368,16,32,.500,.520,10,16,.625,5,20,35,10,4,4,15,19,22,53,.415,3,12,.250,19,41,.463,.443,15,26,.577,15,20,35,10,4,4,15,19
170,Albany (NY),4,2012-11-17,N,Kansas City,REG (Non-Conf),W,62,59,,17,42,.405,5,10,.500,12,32,.375,.464,23,28,.821,8,19,29,10,4,4,13,25,18,52,.346,9,22,.409,9,30,.300,.433,14,19,.737,10,19,29,10,4,4,13,25
171,Albany (NY),5,2012-11-18,N,Loyola (MD),REG (Non-Conf),L,64,67,,23,45,.511,5,12,.417,18,33,.545,.567,13,21,.619,6,14,21,9,7,3,12,21,22,45,.489,4,14,.286,18,31,.581,.533,19,25,.760,7,14,21,9,7,3,12,21
172,Albany (NY),6,2012-11-20,@,South Carolina State,REG (Non-Conf),W,83,55,,31,58,.534,15,29,.517,16,29,.552,.664,6,11,.545,10,18,25,8,6,2,13,11,25,57,.439,3,16,.188,22,41,.537,.465,2,8,.250,7,18,25,8,6,2,13,11
173,Albany (NY),7,2012-11-26,,Wagner,REG (Non-Conf),W,66,63,,23,44,.523,4,15,.267,19,29,.655,.568,16,23,.696,2,23,26,10,6,6,13,24,23,45,.511,4,10,.400,19,35,.543,.556,13,16,.813,3,23,26,10,6,6,13,24
174,Albany (NY),8,2012-12-01,@,Siena,REG (Non-Conf),W,69,56,,21,53,.396,6,20,.300,15,33,.455,.453,21,24,.875,9,19,22,10,7,5,18,17,24,51,.471,3,12,.250,21,39,.538,.500,5,7,.714,3,19,22,10,7,5,18,17
175,Albany (NY),9,2012-12-05,,St. Francis Brooklyn,REG (Non-Conf),W,77,73,,23,43,.535,11,17,.647,12,26,.462,.663,20,27,.741,7,14,23,16,7,0,8,23,28,64,.438,11,28,.393,17,36,.472,.523,6,11,.545,9,14,23,16,7,0,8,23
176,Albany (NY),10,2012-12-08,@,Colgate,REG (Non-Conf),W,67,61,,22,54,.407,8,22,.364,14,32,.438,.481,15,20,.750,6,27,37,9,5,5,6,19,25,60,.417,2,15,.133,23,45,.511,.433,9,14,.643,10,27,37,9,5,5,6,19
177,Albany (NY),11,2012-12-12,,South Carolina State,REG (Non-Conf),W,70,61,,21,53,.396,10,25,.400,11,28,.393,.491,18,23,.783,11,19,25,13,3,3,13,17,25,57,.439,8,21,.381,17,36,.472,.509,3,4,.750,6,19,25,13,3,3,13,17
178,Albany (NY),12,2012-12-21,,Quinnipiac,REG (Non-Conf),L,57,59,,18,45,.400,5,13,.385,13,32,.406,.456,16,23,.696,6,20,34,10,8,3,16,21,23,59,.390,4,17,.235,19,42,.452,.424,9,11,.818,14,20,34,10,8,3,16,21
179,Albany (NY),13,2012-12-28,@,Navy,REG (Non-Conf),W,71,61,,21,42,.500,10,24,.417,11,18,.611,.619,19,28,.679,8,16,28,10,6,2,8,22,21,54,.389,5,18,.278,16,36,.444,.435,14,21,.667,12,16,28,10,6,2,8,22
180,Albany (NY),14,2012-12-31,,Brown,REG (Non-Conf),W,57,50,,17,52,.327,3,15,.200,14,37,.378,.356,20,27,.741,10,23,28,7,6,3,14,21,19,51,.373,5,18,.278,14,33,.424,.422,7,13,.538,5,23,28,7,6,3,14,21
181,Albany (NY),15,2013-01-02,,UMBC,REG (Conf),W,65,48,,20,44,.455,5,16,.313,15,28,.536,.511,20,25,.800,7,16,24,6,4,0,16,22,19,55,.345,5,19,.263,14,36,.389,.391,5,9,.556,8,16,24,6,4,0,16,22
182,Albany (NY),16,2013-01-05,@,Vermont,REG (Conf),L,45,70,,15,42,.357,4,15,.267,11,27,.407,.405,11,18,.611,8,24,31,14,8,5,8,16,28,53,.528,6,17,.353,22,36,.611,.585,8,13,.615,7,24,31,14,8,5,8,16
183,Albany (NY),17,2013-01-07,@,Binghamton,REG (Conf),W,71,59,,28,59,.475,1,12,.083,27,47,.574,.483,14,17,.824,5,22,33,6,2,6,13,16,20,59,.339,10,25,.400,10,34,.294,.424,9,16,.563,11,22,33,6,2,6,13,16
184,Albany (NY),18,2013-01-12,,Maine,REG (Conf),W,76,63,,23,53,.434,7,16,.438,16,37,.432,.500,23,30,.767,6,25,34,6,6,5,14,21,25,61,.410,5,20,.250,20,41,.488,.451,8,14,.571,9,25,34,6,6,5,14,21
185,Albany (NY),19,2013-01-16,@,New Hampshire,REG (Conf),W,68,62,,22,51,.431,3,11,.273,19,40,.475,.461,21,29,.724,11,17,25,16,5,2,11,24,23,54,.426,9,24,.375,14,30,.467,.509,7,10,.700,8,17,25,16,5,2,11,24
186,Albany (NY),20,2013-01-19,@,Hartford,REG (Conf),W,56,46,,19,55,.345,4,16,.250,15,39,.385,.382,14,20,.700,8,23,26,9,9,4,13,18,18,50,.360,5,19,.263,13,31,.419,.410,5,8,.625,3,23,26,9,9,4,13,18
187,Albany (NY),23,2013-01-29,,Stony Brook,REG (Conf),L,49,65,,17,48,.354,4,13,.308,13,35,.371,.396,11,14,.786,6,21,27,8,3,0,9,19,27,53,.509,6,14,.429,21,39,.538,.566,5,7,.714,6,21,27,8,3,0,9,19
188,Albany (NY),24,2013-02-02,,Binghamton,REG (Conf),W,79,46,,31,56,.554,11,23,.478,20,33,.606,.652,6,8,.750,9,15,19,9,4,3,14,11,19,47,.404,2,12,.167,17,35,.486,.426,6,10,.600,4,15,19,9,4,3,14,11
189,Albany (NY),25,2013-02-06,@,UMBC,REG (Conf),W,79,56,,30,55,.545,7,22,.318,23,33,.697,.609,12,19,.632,10,16,31,10,10,3,16,18,21,59,.356,5,17,.294,16,42,.381,.398,9,19,.474,15,16,31,10,10,3,16,18
190,Albany (NY),26,2013-02-09,@,Maine,REG (Conf),L,52,66,,20,57,.351,4,14,.286,16,43,.372,.386,8,10,.800,9,23,29,13,9,5,12,18,22,53,.415,7,19,.368,15,34,.441,.481,15,24,.625,6,23,29,13,9,5,12,18
191,Albany (NY),27,2013-02-16,,Hartford,REG (Conf),W,75,49,,26,47,.553,10,16,.625,16,31,.516,.660,13,17,.765,6,16,24,11,10,3,18,20,17,54,.315,7,32,.219,10,22,.455,.380,8,12,.667,8,16,24,11,10,3,18,20
192,Albany (NY),28,2013-02-20,@,Boston University,REG (Conf),L,69,79,,22,50,.440,3,15,.200,19,35,.543,.470,22,27,.815,8,18,22,17,6,3,4,20,28,54,.519,10,25,.400,18,29,.621,.611,13,19,.684,4,18,22,17,6,3,4,20
193,Albany (NY),29,2013-02-23,@,Fairfield,REG (Non-Conf),W,58,50,,18,42,.429,1,6,.167,17,36,.472,.440,21,30,.700,9,16,23,10,11,2,18,21,17,45,.378,6,21,.286,11,24,.458,.444,10,13,.769,7,16,23,10,11,2,18,21
194,Albany (NY),30,2013-02-28,,New Hampshire,REG (Conf),W,56,49,,19,46,.413,5,12,.417,14,34,.412,.467,13,18,.722,10,15,19,7,3,1,8,17,17,50,.340,10,26,.385,7,24,.292,.440,5,10,.500,4,15,19,7,3,1,8,17
195,Albany (NY),31,2013-03-03,@,Stony Brook,REG (Conf),L,70,75,,26,46,.565,7,17,.412,19,29,.655,.641,11,15,.733,3,16,21,16,7,1,13,18,23,45,.511,7,9,.778,16,36,.444,.589,22,29,.759,5,16,21,16,7,1,13,18
197,Albany (NY),32,2013-03-09,,Maine,CTOURN,W,50,49,,17,50,.340,3,9,.333,14,41,.341,.370,13,17,.765,10,22,26,8,8,7,16,22,20,43,.465,5,15,.333,15,28,.536,.523,4,6,.667,4,22,26,8,8,7,16,22
198,Albany (NY),33,2013-03-10,N,Stony Brook,CTOURN,W,61,59,,21,52,.404,8,18,.444,13,34,.382,.481,11,16,.688,11,19,30,3,4,4,7,19,17,51,.333,5,9,.556,12,42,.286,.382,20,25,.800,11,19,30,3,4,4,7,19
199,Albany (NY),34,2013-03-16,@,Vermont,CTOURN,W,53,49,,20,41,.488,4,12,.333,16,29,.552,.537,9,13,.692,2,21,34,7,3,1,14,17,21,52,.404,1,14,.071,20,38,.526,.413,6,11,.545,13,21,34,7,3,1,14,17
