Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2016-11-11,,Schreiner,REG (Non-Conf),W,73,59,,27,64,.422,9,22,.409,18,42,.429,.492,10,15,.667,15,22,27,18,6,2,14,14,23,53,.434,8,21,.381,15,32,.469,.509,5,11,.455,5,22,27,18,6,2,14,14
1,Abilene Christian,2,2016-11-17,@,New Hampshire,REG (Non-Conf),W,65,57,,22,46,.478,5,15,.333,17,31,.548,.533,16,29,.552,1,29,39,6,3,0,18,25,21,60,.350,5,24,.208,16,36,.444,.392,10,17,.588,10,29,39,6,3,0,18,25
2,Abilene Christian,3,2016-11-22,,Charleston Southern,REG (Non-Conf),L,65,66,,27,48,.563,2,13,.154,25,35,.714,.583,9,18,.500,4,19,31,8,2,3,14,17,25,56,.446,6,19,.316,19,37,.514,.500,10,16,.625,12,19,31,8,2,3,14,17
3,Abilene Christian,4,2016-11-25,@,Oklahoma,REG (Non-Conf),L,64,72,,24,57,.421,7,22,.318,17,35,.486,.482,9,19,.474,9,26,36,6,14,5,13,17,20,55,.364,3,14,.214,17,41,.415,.391,29,46,.630,10,26,36,6,14,5,13,17
4,Abilene Christian,5,2016-11-27,,Howard Payne,REG (Non-Conf),W,71,55,,22,42,.524,5,15,.333,17,27,.630,.583,22,27,.815,4,18,28,10,10,2,14,22,18,53,.340,4,20,.200,14,33,.424,.377,15,26,.577,10,18,28,10,10,2,14,22
5,Abilene Christian,6,2016-11-30,@,New Mexico,REG (Non-Conf),L,55,64,,20,48,.417,8,24,.333,12,24,.500,.500,7,10,.700,6,24,30,16,4,1,8,9,22,48,.458,2,11,.182,20,37,.541,.479,18,25,.720,6,24,30,16,4,1,8,9
6,Abilene Christian,7,2016-12-03,@,Charleston Southern,REG (Non-Conf),W,85,82,OT,28,50,.560,8,14,.571,20,36,.556,.640,21,26,.808,5,17,28,10,4,4,10,20,27,64,.422,12,31,.387,15,33,.455,.516,16,27,.593,11,17,28,10,4,4,10,20
7,Abilene Christian,8,2016-12-10,,N New Mexico,REG (Non-Conf),W,90,69,,32,55,.582,7,17,.412,25,38,.658,.645,19,22,.864,5,18,21,8,6,0,17,18,21,48,.438,6,20,.300,15,28,.536,.500,21,29,.724,3,18,21,8,6,0,17,18
8,Abilene Christian,9,2016-12-14,,Hillsdale,REG (Non-Conf),W,78,74,,29,61,.475,9,19,.474,20,42,.476,.549,11,16,.688,7,27,32,17,5,5,13,17,25,60,.417,15,30,.500,10,30,.333,.542,9,10,.900,5,27,32,17,5,5,13,17
9,Abilene Christian,10,2016-12-17,@,Sacramento State,REG (Non-Conf),L,86,88,2OT,37,65,.569,8,17,.471,29,48,.604,.631,4,5,.800,2,25,34,21,9,4,18,11,29,58,.500,9,25,.360,20,33,.606,.578,21,30,.700,9,25,34,21,9,4,18,11
