Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2014-11-14,,Hillsdale,REG (Non-Conf),W,101,61,,39,69,.565,12,25,.480,27,44,.614,.652,11,16,.688,10,18,25,3,2,2,22,20,16,45,.356,0,13,.000,16,32,.500,.356,29,39,.744,7,18,25,3,2,2,22,20
1,Abilene Christian,2,2014-11-19,@,Tulsa,REG (Non-Conf),L,39,65,,15,55,.273,5,22,.227,10,33,.303,.318,4,7,.571,9,29,42,12,8,7,14,11,23,49,.469,5,14,.357,18,35,.514,.520,14,25,.560,13,29,42,12,8,7,14,11
2,Abilene Christian,3,2014-11-22,,Duquesne,REG (Non-Conf),L,81,102,,25,62,.403,6,14,.429,19,48,.396,.452,25,32,.781,9,30,39,13,6,5,15,26,34,57,.596,12,23,.522,22,34,.647,.702,22,34,.647,9,30,39,13,6,5,15,26
3,Abilene Christian,4,2014-11-25,,Jarvis Christian,REG (Non-Conf),W,91,65,,32,72,.444,10,30,.333,22,42,.524,.514,17,25,.680,19,24,31,6,7,2,30,23,20,42,.476,7,14,.500,13,28,.464,.560,18,29,.621,7,24,31,6,7,2,30,23
4,Abilene Christian,5,2014-11-29,@,UC Riverside,REG (Non-Conf),L,56,76,,19,53,.358,7,16,.438,12,37,.324,.425,11,13,.846,6,27,44,15,8,5,15,14,28,58,.483,8,16,.500,20,42,.476,.552,12,19,.632,17,27,44,15,8,5,15,14
5,Abilene Christian,6,2014-12-04,,Sacramento State,REG (Non-Conf),W,72,61,,23,45,.511,7,17,.412,16,28,.571,.589,19,24,.792,5,15,32,9,10,3,14,22,17,53,.321,5,21,.238,12,32,.375,.368,22,31,.710,17,15,32,9,10,3,14,22
6,Abilene Christian,7,2014-12-06,@,Houston,REG (Non-Conf),L,59,71,,22,67,.328,8,31,.258,14,36,.389,.388,7,8,.875,11,28,37,15,3,7,11,13,22,50,.440,10,22,.455,12,28,.429,.540,17,23,.739,9,28,37,15,3,7,11,13
7,Abilene Christian,8,2014-12-13,,N New Mexico,REG (Non-Conf),W,76,48,,24,61,.393,7,18,.389,17,43,.395,.451,21,27,.778,12,26,35,4,7,2,23,22,11,47,.234,3,14,.214,8,33,.242,.266,23,33,.697,9,26,35,4,7,2,23,22
8,Abilene Christian,9,2014-12-17,@,Loyola Chicago,REG (Non-Conf),L,44,83,,14,55,.255,6,22,.273,8,33,.242,.309,10,12,.833,6,35,41,17,5,2,14,13,27,42,.643,9,14,.643,18,28,.643,.750,20,26,.769,6,35,41,17,5,2,14,13
9,Abilene Christian,10,2014-12-20,@,Boise State,REG (Non-Conf),L,33,77,,11,55,.200,6,19,.316,5,36,.139,.255,5,6,.833,11,32,40,17,2,6,12,7,31,52,.596,10,20,.500,21,32,.656,.692,5,6,.833,8,32,40,17,2,6,12,7
10,Abilene Christian,11,2014-12-22,N,South Carolina State,REG (Non-Conf),W,65,59,,23,54,.426,8,24,.333,15,30,.500,.500,11,18,.611,6,28,35,11,8,6,22,21,18,45,.400,4,15,.267,14,30,.467,.444,19,24,.792,7,28,35,11,8,6,22,21
11,Abilene Christian,12,2014-12-23,N,Arkansas–Pine Bluff,REG (Non-Conf),W,69,61,,24,45,.533,10,20,.500,14,25,.560,.644,11,16,.688,5,18,29,5,3,2,14,19,20,53,.377,5,19,.263,15,34,.441,.425,16,20,.800,11,18,29,5,3,2,14,19
12,Abilene Christian,13,2014-12-28,@,Grand Canyon,REG (Non-Conf),L,81,83,,31,59,.525,9,22,.409,22,37,.595,.602,10,16,.625,3,23,26,19,7,1,16,18,29,47,.617,4,11,.364,25,36,.694,.660,21,35,.600,3,23,26,19,7,1,16,18
13,Abilene Christian,14,2015-01-04,,Central Arkansas,REG (Conf),W,87,70,,29,54,.537,11,18,.611,18,36,.500,.639,18,22,.818,7,20,25,11,7,3,16,20,24,51,.471,6,16,.375,18,35,.514,.529,16,20,.800,5,20,25,11,7,3,16,20
14,Abilene Christian,15,2015-01-10,,Nicholls State,REG (Conf),W,71,54,,22,58,.379,9,25,.360,13,33,.394,.457,18,21,.857,9,22,33,5,7,5,13,15,20,57,.351,3,18,.167,17,39,.436,.377,11,18,.611,11,22,33,5,7,5,13,15
15,Abilene Christian,16,2015-01-13,@,Northwestern State,REG (Conf),W,95,81,,34,59,.576,16,27,.593,18,32,.563,.712,11,12,.917,5,18,25,10,2,3,9,15,27,57,.474,7,18,.389,20,39,.513,.535,20,24,.833,7,18,25,10,2,3,9,15
16,Abilene Christian,17,2015-01-17,,Stephen F. Austin,REG (Conf),L,64,82,,21,54,.389,8,16,.500,13,38,.342,.463,14,17,.824,6,26,38,21,7,5,14,18,35,59,.593,6,15,.400,29,44,.659,.644,6,12,.500,12,26,38,21,7,5,14,18
17,Abilene Christian,18,2015-01-20,@,McNeese State,REG (Conf),L,56,63,,17,53,.321,7,20,.350,10,33,.303,.387,15,24,.625,6,33,45,15,4,7,11,20,22,56,.393,2,20,.100,20,36,.556,.411,17,36,.472,12,33,45,15,4,7,11,20
18,Abilene Christian,19,2015-01-24,,Incarnate Word,REG (Conf),L,61,77,,22,45,.489,4,16,.250,18,29,.621,.533,13,21,.619,5,21,28,12,6,2,12,15,29,50,.580,6,13,.462,23,37,.622,.640,13,20,.650,7,21,28,12,6,2,12,15
19,Abilene Christian,20,2015-01-26,,Sam Houston State,REG (Conf),L,63,80,,23,43,.535,8,16,.500,15,27,.556,.628,9,21,.429,4,23,32,14,4,2,9,20,26,52,.500,12,26,.462,14,26,.538,.615,16,21,.762,9,23,32,14,4,2,9,20
20,Abilene Christian,23,2015-02-07,,Southeastern Louisiana,REG (Conf),L,52,65,,20,58,.345,9,26,.346,11,32,.344,.422,3,4,.750,8,25,34,16,7,3,13,10,25,51,.490,6,17,.353,19,34,.559,.549,9,14,.643,9,25,34,16,7,3,13,10
21,Abilene Christian,24,2015-02-09,N,Lamar,REG (Conf),L,61,80,,18,48,.375,9,18,.500,9,30,.300,.469,16,20,.800,12,19,30,10,5,6,15,20,22,48,.458,11,19,.579,11,29,.379,.573,25,31,.806,11,19,30,10,5,6,15,20
22,Abilene Christian,25,2015-02-16,@,Sam Houston State,REG (Conf),L,49,71,,18,39,.462,7,17,.412,11,22,.500,.551,6,12,.500,4,22,39,16,8,3,7,19,22,58,.379,5,25,.200,17,33,.515,.422,22,28,.786,17,22,39,16,8,3,7,19
23,Abilene Christian,26,2015-02-21,@,Southeastern Louisiana,REG (Conf),L,54,55,,18,41,.439,6,15,.400,12,26,.462,.512,12,16,.750,5,16,20,7,7,5,17,17,21,40,.525,2,9,.222,19,31,.613,.550,11,19,.579,4,16,20,7,7,5,17,17
24,Abilene Christian,27,2015-02-24,,Texas A&M–Corpus Christi,REG (Conf),L,44,67,,17,48,.354,5,15,.333,12,33,.364,.406,5,7,.714,3,25,33,10,9,3,12,13,19,42,.452,5,12,.417,14,30,.467,.512,24,35,.686,8,25,33,10,9,3,12,13
25,Abilene Christian,28,2015-02-28,@,New Orleans,REG (Conf),L,55,75,,20,51,.392,6,14,.429,14,37,.378,.451,9,13,.692,8,23,26,15,5,6,10,18,26,45,.578,9,12,.750,17,33,.515,.678,14,19,.737,3,23,26,15,5,6,10,18
26,Abilene Christian,29,2015-03-03,,Houston Baptist,REG (Conf),W,83,71,,34,56,.607,7,14,.500,27,42,.643,.670,8,9,.889,3,16,28,11,3,2,17,14,28,48,.583,4,13,.308,24,35,.686,.625,11,19,.579,12,16,28,11,3,2,17,14
27,Abilene Christian,30,2015-03-05,@,Incarnate Word,REG (Conf),L,52,64,,19,61,.311,3,15,.200,16,46,.348,.336,11,12,.917,7,32,37,13,2,2,13,13,24,49,.490,3,13,.231,21,36,.583,.520,13,17,.765,5,32,37,13,2,2,13,13
28,Abilene Christian,31,2015-03-07,@,Texas A&M–Corpus Christi,REG (Conf),L,27,58,,9,48,.188,2,20,.100,7,28,.250,.208,7,9,.778,7,33,39,8,9,7,9,10,19,44,.432,5,19,.263,14,25,.560,.489,15,22,.682,6,33,39,8,9,7,9,10
30,Air Force,1,2014-11-14,@,Army,REG (Non-Conf),L,78,84,,31,62,.500,6,19,.316,25,43,.581,.548,10,15,.667,11,19,33,18,6,4,15,21,30,61,.492,13,25,.520,17,36,.472,.598,11,17,.647,14,19,33,18,6,4,15,21
31,Air Force,2,2014-11-15,N,The Citadel,REG (Non-Conf),W,68,55,,24,43,.558,9,20,.450,15,23,.652,.663,11,14,.786,10,9,20,7,6,0,11,17,21,51,.412,4,18,.222,17,33,.515,.451,9,19,.474,11,9,20,7,6,0,11,17
32,Air Force,3,2014-11-19,,Colo. Christian,REG (Non-Conf),W,70,47,,26,47,.553,9,17,.529,17,30,.567,.649,9,15,.600,7,19,30,10,12,1,12,17,14,56,.250,6,27,.222,8,29,.276,.304,13,18,.722,11,19,30,10,12,1,12,17
33,Air Force,4,2014-11-22,,Western Co.,REG (Non-Conf),W,90,60,,31,46,.674,15,21,.714,16,25,.640,.837,13,18,.722,2,16,20,17,3,0,10,18,22,51,.431,10,26,.385,12,25,.480,.529,6,11,.545,4,16,20,17,3,0,10,18
34,Air Force,5,2014-11-25,@,Colorado,REG (Non-Conf),L,53,68,,18,55,.327,4,20,.200,14,35,.400,.364,13,20,.650,8,27,37,13,7,7,15,22,21,48,.438,7,16,.438,14,32,.438,.510,19,24,.792,10,27,37,13,7,7,15,22
35,Air Force,6,2014-11-30,@,Texas Tech,REG (Non-Conf),L,62,63,,23,47,.489,8,18,.444,15,29,.517,.574,8,9,.889,8,16,31,8,9,4,18,13,20,52,.385,6,19,.316,14,33,.424,.442,17,22,.773,15,16,31,8,9,4,18,13
36,Air Force,7,2014-12-03,,Grambling State,REG (Non-Conf),W,59,34,,20,53,.377,5,24,.208,15,29,.517,.425,14,25,.560,21,15,24,9,5,1,11,21,13,45,.289,1,8,.125,12,37,.324,.300,7,11,.636,9,15,24,9,5,1,11,21
37,Air Force,8,2014-12-08,,Omaha,REG (Non-Conf),W,77,61,,27,50,.540,9,25,.360,18,25,.720,.630,14,17,.824,7,15,27,14,6,4,15,20,23,58,.397,6,24,.250,17,34,.500,.448,9,11,.818,12,15,27,14,6,4,15,20
38,Air Force,9,2014-12-13,,Arkansas–Pine Bluff,REG (Non-Conf),W,80,47,,26,43,.605,11,21,.524,15,22,.682,.733,17,24,.708,9,9,13,12,8,3,15,18,17,40,.425,6,15,.400,11,25,.440,.500,7,11,.636,4,9,13,12,8,3,15,18
39,Air Force,10,2014-12-20,,UC Davis,REG (Non-Conf),L,75,81,,26,62,.419,7,27,.259,19,35,.543,.476,16,21,.762,11,23,28,17,4,3,8,19,25,48,.521,6,19,.316,19,29,.655,.583,25,28,.893,5,23,28,17,4,3,8,19
40,Air Force,11,2014-12-22,,Jacksonville State,REG (Non-Conf),W,66,65,OT,22,45,.489,10,23,.435,12,22,.545,.600,12,18,.667,1,24,33,14,2,1,7,16,25,66,.379,9,25,.360,16,41,.390,.447,6,7,.857,9,24,33,14,2,1,7,16
41,Air Force,12,2014-12-31,@,San Diego State,REG (Conf),L,49,53,,19,43,.442,1,11,.091,18,32,.563,.453,10,13,.769,5,16,27,12,6,4,9,14,22,61,.361,4,21,.190,18,40,.450,.393,5,10,.500,11,16,27,12,6,4,9,14
42,Air Force,13,2015-01-03,@,Nevada,REG (Conf),L,62,80,,23,50,.460,6,20,.300,17,30,.567,.520,10,18,.556,8,18,34,18,6,1,10,18,24,50,.480,7,23,.304,17,27,.630,.550,25,35,.714,16,18,34,18,6,1,10,18
