Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2013-11-09,@,Duquesne,REG (Non-Conf),L,75,94,,22,63,.349,7,25,.280,15,38,.395,.405,24,32,.750,9,30,40,19,4,2,10,22,30,58,.517,7,19,.368,23,39,.590,.578,27,37,.730,10,30,40,19,4,2,10,22
1,Abilene Christian,2,2013-11-11,@,St. Bonaventure,REG (Non-Conf),L,47,75,,14,40,.350,4,16,.250,10,24,.417,.400,15,26,.577,9,22,40,15,7,7,9,23,25,56,.446,2,14,.143,23,42,.548,.464,23,32,.719,18,22,40,15,7,7,9,23
2,Abilene Christian,3,2013-11-13,@,Maryland,REG (Non-Conf),L,44,67,,17,54,.315,10,21,.476,7,33,.212,.407,0,0,,3,26,38,12,9,10,17,8,26,53,.491,4,18,.222,22,35,.629,.528,11,17,.647,12,26,38,12,9,10,17,8
3,Abilene Christian,4,2013-11-17,@,Iowa,REG (Non-Conf),L,41,103,,14,54,.259,3,23,.130,11,31,.355,.287,10,12,.833,7,30,35,25,11,5,5,10,38,61,.623,9,21,.429,29,40,.725,.697,18,22,.818,5,30,35,25,11,5,5,10
4,Abilene Christian,5,2013-11-19,@,TCU,REG (Non-Conf),L,64,71,,19,50,.380,9,20,.450,10,30,.333,.470,17,25,.680,10,22,30,11,7,3,6,20,22,48,.458,3,13,.231,19,35,.543,.490,24,37,.649,8,22,30,11,7,3,6,20
5,Abilene Christian,6,2013-11-22,N,Western N.M.,REG (Non-Conf),W,62,44,,16,41,.390,5,21,.238,11,20,.550,.451,25,33,.758,12,11,17,9,12,3,13,22,17,49,.347,3,13,.231,14,36,.389,.378,7,11,.636,6,11,17,9,12,3,13,22
6,Abilene Christian,7,2013-11-23,N,N New Mexico,REG (Non-Conf),W,78,56,,27,63,.429,10,22,.455,17,41,.415,.508,14,20,.700,12,23,34,11,4,1,22,23,18,50,.360,5,18,.278,13,32,.406,.410,15,28,.536,11,23,34,11,4,1,22,23
7,Abilene Christian,8,2013-11-25,@,Xavier,REG (Non-Conf),L,65,93,,23,53,.434,9,24,.375,14,29,.483,.519,10,14,.714,3,29,45,18,8,7,8,16,33,57,.579,6,13,.462,27,44,.614,.632,21,36,.583,16,29,45,18,8,7,8,16
8,Abilene Christian,9,2013-11-29,N,West Ala.,REG (Non-Conf),L,67,77,,21,54,.389,9,22,.409,12,32,.375,.472,16,25,.640,6,25,31,7,5,6,12,21,21,46,.457,5,17,.294,16,29,.552,.511,30,33,.909,6,25,31,7,5,6,12,21
9,Abilene Christian,10,2013-11-30,@,Towson,REG (Non-Conf),L,47,74,,18,55,.327,3,19,.158,15,36,.417,.355,8,11,.727,6,25,29,12,1,9,14,17,26,45,.578,6,17,.353,20,28,.714,.644,16,18,.889,4,25,29,12,1,9,14,17
