Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
0,Abilene Christian,1,2015-11-13,,Univ of the SW,REG (Non-Conf),W,94,63,,37,73,.507,5,15,.333,32,58,.552,.541,15,21,.714,16,20,28,6,1,1,25,19,23,57,.404,5,18,.278,18,39,.462,.447,12,17,.706,8,20,28,6,1,1,25,19
1,Abilene Christian,2,2015-11-17,,Howard Payne,REG (Non-Conf),W,70,56,,27,55,.491,3,8,.375,24,47,.511,.518,13,23,.565,9,20,29,5,6,3,23,23,19,47,.404,4,13,.308,15,34,.441,.447,14,22,.636,9,20,29,5,6,3,23,23
2,Abilene Christian,3,2015-11-22,@,Portland,REG (Non-Conf),L,57,87,,15,52,.288,5,19,.263,10,33,.303,.337,22,32,.688,10,27,35,16,10,3,15,27,33,64,.516,11,22,.500,22,42,.524,.602,10,19,.526,8,27,35,16,10,3,15,27
3,Abilene Christian,4,2015-11-24,@,Colorado State,REG (Non-Conf),L,100,108,2OT,33,70,.471,14,30,.467,19,40,.475,.571,20,24,.833,6,28,39,18,2,3,10,22,36,73,.493,9,24,.375,27,49,.551,.555,27,33,.818,11,28,39,18,2,3,10,22
4,Abilene Christian,5,2015-11-27,N,Florida A&M,REG (Non-Conf),W,72,62,,23,51,.451,7,15,.467,16,36,.444,.520,19,25,.760,9,19,26,12,5,4,16,22,24,58,.414,2,14,.143,22,44,.500,.431,12,22,.545,7,19,26,12,5,4,16,22
5,Abilene Christian,6,2015-11-28,N,Oakland,REG (Non-Conf),L,57,85,,20,64,.313,3,21,.143,17,43,.395,.336,14,19,.737,14,29,42,17,3,2,10,16,32,64,.500,10,17,.588,22,47,.468,.578,11,17,.647,13,29,42,17,3,2,10,16
6,Abilene Christian,7,2015-12-03,,New Hampshire,REG (Non-Conf),L,75,86,,24,50,.480,8,15,.533,16,35,.457,.560,19,24,.792,4,23,31,18,3,1,13,20,32,60,.533,6,17,.353,26,43,.605,.583,16,24,.667,8,23,31,18,3,1,13,20
7,Abilene Christian,8,2015-12-05,@,Nebraska,REG (Non-Conf),L,63,73,,22,47,.468,5,15,.333,17,32,.531,.521,14,17,.824,2,21,32,10,12,5,12,18,21,49,.429,4,16,.250,17,33,.515,.469,27,36,.750,11,21,32,10,12,5,12,18
8,Abilene Christian,9,2015-12-12,,Schreiner,REG (Non-Conf),W,69,46,,28,52,.538,7,20,.350,21,32,.656,.606,6,11,.545,6,20,32,10,8,0,18,14,17,56,.304,4,23,.174,13,33,.394,.339,8,14,.571,12,20,32,10,8,0,18,14
9,Abilene Christian,10,2015-12-18,,UC Riverside,REG (Non-Conf),L,56,60,,22,55,.400,4,19,.211,18,36,.500,.436,8,14,.571,9,23,29,8,2,2,12,19,24,48,.500,5,16,.313,19,32,.594,.552,7,15,.467,6,23,29,8,2,2,12,19
10,Abilene Christian,11,2015-12-20,@,TCU,REG (Non-Conf),L,69,80,,24,53,.453,4,19,.211,20,34,.588,.491,17,26,.654,7,24,32,16,4,2,10,22,28,58,.483,4,12,.333,24,46,.522,.517,20,26,.769,8,24,32,16,4,2,10,22
11,Abilene Christian,12,2015-12-22,@,Drake,REG (Non-Conf),L,70,87,,26,58,.448,7,16,.438,19,42,.452,.509,11,17,.647,6,26,30,13,4,2,12,17,30,48,.625,10,18,.556,20,30,.667,.729,17,25,.680,4,26,30,13,4,2,12,17
12,Abilene Christian,13,2015-12-30,,Hillsdale,REG (Non-Conf),W,90,48,,36,68,.529,9,18,.500,27,50,.540,.596,9,11,.818,11,17,19,8,7,5,19,9,18,53,.340,4,23,.174,14,30,.467,.377,8,8,1.000,2,17,19,8,7,5,19,9
13,Abilene Christian,14,2016-01-02,@,Central Arkansas,REG (Conf),W,62,61,,21,55,.382,4,9,.444,17,46,.370,.418,16,19,.842,8,21,31,11,5,6,17,17,23,56,.411,4,11,.364,19,45,.422,.446,11,22,.500,10,21,31,11,5,6,17,17
14,Abilene Christian,15,2016-01-09,@,Nicholls State,REG (Conf),L,62,63,,22,57,.386,5,16,.313,17,41,.415,.430,13,17,.765,8,23,27,13,9,8,22,22,18,39,.462,5,18,.278,13,21,.619,.526,22,27,.815,4,23,27,13,9,8,22,22
15,Abilene Christian,16,2016-01-12,,Northwestern State,REG (Conf),W,87,72,,26,63,.413,6,19,.316,20,44,.455,.460,29,35,.829,13,18,23,12,4,7,13,21,24,56,.429,3,17,.176,21,39,.538,.455,21,26,.808,5,18,23,12,4,7,13,21
16,Abilene Christian,17,2016-01-16,@,Stephen F. Austin,REG (Conf),L,62,97,,25,49,.510,4,17,.235,21,32,.656,.551,8,18,.444,6,21,28,28,3,5,10,18,39,54,.722,12,15,.800,27,39,.692,.833,7,14,.500,7,21,28,28,3,5,10,18
17,Abilene Christian,18,2016-01-19,,McNeese State,REG (Conf),W,75,67,,28,54,.519,3,13,.231,25,41,.610,.546,16,20,.800,6,22,31,7,2,3,15,18,23,52,.442,6,17,.353,17,35,.486,.500,15,20,.750,9,22,31,7,2,3,15,18
18,Abilene Christian,19,2016-01-23,@,Incarnate Word,REG (Conf),L,60,74,,18,46,.391,9,20,.450,9,26,.346,.489,15,22,.682,3,24,28,13,8,3,15,18,29,49,.592,4,13,.308,25,36,.694,.633,12,17,.706,4,24,28,13,8,3,15,18
19,Abilene Christian,20,2016-01-25,@,Sam Houston State,REG (Conf),L,51,72,,17,52,.327,6,23,.261,11,29,.379,.385,11,17,.647,3,31,37,21,3,0,13,18,25,52,.481,8,18,.444,17,34,.500,.558,14,19,.737,6,31,37,21,3,0,13,18
20,Abilene Christian,23,2016-02-06,@,Southeastern Louisiana,REG (Conf),L,60,81,,22,53,.415,7,16,.438,15,37,.405,.481,9,16,.563,11,22,30,20,6,3,16,18,30,52,.577,6,16,.375,24,36,.667,.635,15,18,.833,8,22,30,20,6,3,16,18
21,Abilene Christian,24,2016-02-08,@,Lamar,REG (Conf),W,71,67,,22,47,.468,6,17,.353,16,30,.533,.532,21,26,.808,8,17,27,10,7,1,12,22,18,45,.400,1,9,.111,17,36,.472,.411,30,42,.714,10,17,27,10,7,1,12,22
22,Abilene Christian,25,2016-02-15,,Sam Houston State,REG (Conf),L,71,84,,22,49,.449,12,28,.429,10,21,.476,.571,15,21,.714,6,24,31,13,3,2,7,19,28,57,.491,6,21,.286,22,36,.611,.544,22,22,1.000,7,24,31,13,3,2,7,19
23,Abilene Christian,26,2016-02-18,@,Houston Baptist,REG (Conf),L,71,73,,27,55,.491,6,12,.500,21,43,.488,.545,11,17,.647,5,25,30,11,1,7,10,15,25,48,.521,6,8,.750,19,40,.475,.583,17,27,.630,5,25,30,11,1,7,10,15
24,Abilene Christian,27,2016-02-21,,Southeastern Louisiana,REG (Conf),W,91,80,,27,50,.540,8,19,.421,19,31,.613,.620,29,34,.853,6,17,22,12,2,2,13,25,32,59,.542,5,16,.313,27,43,.628,.585,11,18,.611,5,17,22,12,2,2,13,25
25,Abilene Christian,28,2016-02-23,@,Texas A&M–Corpus Christi,REG (Conf),L,59,65,,21,46,.457,9,21,.429,12,25,.480,.554,8,9,.889,4,18,26,7,10,4,10,13,26,56,.464,2,14,.143,24,42,.571,.482,11,13,.846,8,18,26,7,10,4,10,13
26,Abilene Christian,29,2016-02-27,,New Orleans,REG (Conf),W,87,84,,28,55,.509,10,24,.417,18,31,.581,.600,21,30,.700,7,23,32,12,10,3,16,25,26,55,.473,4,8,.500,22,47,.468,.509,28,39,.718,9,23,32,12,10,3,16,25
27,Abilene Christian,30,2016-03-03,,Incarnate Word,REG (Conf),L,70,74,,27,58,.466,8,24,.333,19,34,.559,.534,8,15,.533,7,25,32,12,4,2,10,15,22,57,.386,9,20,.450,13,37,.351,.465,21,26,.808,7,25,32,12,4,2,10,15
28,Abilene Christian,31,2016-03-05,,Texas A&M–Corpus Christi,REG (Conf),L,69,74,,25,56,.446,7,20,.350,18,36,.500,.509,12,24,.500,8,26,31,6,6,5,18,19,21,46,.457,4,12,.333,17,34,.500,.500,28,36,.778,5,26,31,6,6,5,18,19
30,Air Force,1,2015-11-13,@,Southern Illinois,REG (Non-Conf),L,75,77,,22,51,.431,4,20,.200,18,31,.581,.471,27,33,.818,8,19,33,14,8,1,5,26,28,67,.418,6,24,.250,22,43,.512,.463,15,28,.536,14,19,33,14,8,1,5,26
31,Air Force,2,2015-11-16,,Tennessee Tech,REG (Non-Conf),W,80,70,,29,49,.592,3,12,.250,26,37,.703,.622,19,32,.594,5,22,39,11,8,5,14,27,21,65,.323,7,29,.241,14,36,.389,.377,21,31,.677,17,22,39,11,8,5,14,27
32,Air Force,3,2015-11-19,,Mississippi Valley State,REG (Non-Conf),W,65,64,,23,60,.383,3,21,.143,20,39,.513,.408,16,28,.571,12,31,42,14,3,4,13,27,25,61,.410,6,19,.316,19,42,.452,.459,8,14,.571,11,31,42,14,3,4,13,27
33,Air Force,4,2015-11-22,,Robert Morris,REG (Non-Conf),W,64,52,,25,66,.379,3,12,.250,22,54,.407,.402,11,13,.846,15,21,31,12,6,3,17,15,20,59,.339,8,28,.286,12,31,.387,.407,4,7,.571,10,21,31,12,6,3,17,15
34,Air Force,5,2015-11-25,@,Colorado,REG (Non-Conf),L,70,81,,26,62,.419,10,22,.455,16,40,.400,.500,8,18,.444,8,29,35,15,4,4,17,17,25,48,.521,13,25,.520,12,23,.522,.656,18,23,.783,6,29,35,15,4,4,17,17
35,Air Force,6,2015-11-28,,New Mexico State,REG (Non-Conf),W,66,64,OT,24,65,.369,8,27,.296,16,38,.421,.431,10,12,.833,5,36,44,12,2,7,17,16,23,52,.442,4,13,.308,19,39,.487,.481,14,21,.667,8,36,44,12,2,7,17,16
36,Air Force,7,2015-12-02,,The Citadel,REG (Non-Conf),W,97,93,,32,58,.552,4,13,.308,28,45,.622,.586,29,45,.644,8,24,28,21,7,5,10,32,31,72,.431,18,50,.360,13,22,.591,.556,13,15,.867,4,24,28,21,7,5,10,32
37,Air Force,8,2015-12-05,@,Denver,REG (Non-Conf),W,61,59,,20,50,.400,4,12,.333,16,38,.421,.440,17,23,.739,13,19,21,12,10,3,17,19,21,45,.467,5,18,.278,16,27,.593,.522,12,14,.857,2,19,21,12,10,3,17,19
38,Air Force,9,2015-12-08,@,Ohio State,REG (Non-Conf),L,50,74,,17,51,.333,4,15,.267,13,36,.361,.373,12,17,.706,7,26,31,11,8,6,12,18,27,57,.474,6,22,.273,21,35,.600,.526,14,18,.778,5,26,31,11,8,6,12,18
39,Air Force,10,2015-12-12,,Army,REG (Non-Conf),L,80,90,,29,62,.468,6,10,.600,23,52,.442,.516,16,32,.500,10,30,36,16,6,6,15,25,26,58,.448,12,28,.429,14,30,.467,.552,26,38,.684,6,30,36,16,6,6,15,25
40,Air Force,11,2015-12-19,@,UC Davis,REG (Non-Conf),W,67,60,,24,48,.500,8,19,.421,16,29,.552,.583,11,17,.647,4,21,35,6,7,2,15,17,24,63,.381,4,23,.174,20,40,.500,.413,8,13,.615,14,21,35,6,7,2,15,17
41,Air Force,12,2015-12-22,,Johnson & Wales (CO),REG (Non-Conf),W,80,56,,27,58,.466,6,14,.429,21,44,.477,.517,20,26,.769,11,20,30,10,8,3,18,25,17,55,.309,7,24,.292,10,31,.323,.373,15,23,.652,10,20,30,10,8,3,18,25
42,Air Force,13,2015-12-29,,Western Co.,REG (Non-Conf),W,86,66,,28,52,.538,7,16,.438,21,36,.583,.606,23,28,.821,8,19,30,21,8,3,10,21,26,69,.377,6,25,.240,20,44,.455,.420,8,12,.667,11,19,30,21,8,3,10,21
43,Air Force,14,2016-01-02,,San Jose State,REG (Conf),W,64,57,,17,49,.347,5,19,.263,12,30,.400,.398,25,30,.833,7,21,30,12,8,8,20,24,18,49,.367,7,18,.389,11,31,.355,.439,14,23,.609,9,21,30,12,8,8,20,24
44,Air Force,15,2016-01-06,@,Wyoming,REG (Conf),L,52,64,,20,54,.370,6,18,.333,14,36,.389,.426,6,11,.545,2,30,35,10,5,2,13,17,22,51,.431,11,28,.393,11,23,.478,.539,9,12,.750,5,30,35,10,5,2,13,17
45,Air Force,16,2016-01-09,,Nevada,REG (Conf),L,63,86,,19,51,.373,5,20,.250,14,31,.452,.422,20,34,.588,6,31,41,16,10,6,7,25,33,69,.478,7,18,.389,26,51,.510,.529,13,20,.650,10,31,41,16,10,6,7,25
46,Air Force,17,2016-01-12,@,Utah State,REG (Conf),L,60,79,,21,57,.368,8,20,.400,13,37,.351,.439,10,17,.588,6,30,35,15,3,5,9,15,26,56,.464,7,26,.269,19,30,.633,.527,20,24,.833,5,30,35,15,3,5,9,15
47,Air Force,18,2016-01-16,@,UNLV,REG (Conf),L,64,100,,24,56,.429,4,13,.308,20,43,.465,.464,12,18,.667,4,31,50,21,4,8,12,14,34,68,.500,13,25,.520,21,43,.488,.596,19,20,.950,19,31,50,21,4,8,12,14
48,Air Force,19,2016-01-20,,Colorado State,REG (Conf),L,79,83,,27,52,.519,9,20,.450,18,32,.563,.606,16,22,.727,6,22,27,17,2,4,6,19,25,54,.463,12,30,.400,13,24,.542,.574,21,28,.750,5,22,27,17,2,4,6,19
49,Air Force,20,2016-01-23,,Fresno State,REG (Conf),L,55,56,,19,46,.413,7,18,.389,12,28,.429,.489,10,17,.588,4,27,34,13,12,4,12,16,20,58,.345,9,25,.360,11,33,.333,.422,7,11,.636,7,27,34,13,12,4,12,16
50,Air Force,23,2016-02-02,,Wyoming,REG (Conf),W,70,62,,23,44,.523,4,13,.308,19,31,.613,.568,20,30,.667,6,21,26,11,4,4,13,28,20,47,.426,9,25,.360,11,22,.500,.521,13,20,.650,5,21,26,11,4,4,13,28
51,Air Force,24,2016-02-06,,Boise State,REG (Conf),W,61,53,,19,44,.432,7,21,.333,12,23,.522,.511,16,22,.727,5,18,25,7,9,1,13,20,19,54,.352,5,22,.227,14,32,.438,.398,10,22,.455,7,18,25,7,9,1,13,20
52,Air Force,25,2016-02-10,@,Nevada,REG (Conf),L,52,72,,20,60,.333,3,18,.167,17,42,.405,.358,9,15,.600,9,30,40,13,4,6,15,17,25,48,.521,5,17,.294,20,31,.645,.573,17,20,.850,10,30,40,13,4,6,15,17
53,Air Force,26,2016-02-13,@,San Diego State,REG (Conf),L,61,70,,26,50,.520,8,17,.471,18,33,.545,.600,1,2,.500,4,19,31,19,4,2,5,11,23,61,.377,12,39,.308,11,22,.500,.475,12,19,.632,12,19,31,19,4,2,5,11
54,Air Force,27,2016-02-16,,UNLV,REG (Conf),W,79,74,,24,57,.421,8,19,.421,16,38,.421,.491,23,29,.793,8,24,30,15,10,3,16,25,24,53,.453,11,27,.407,13,26,.500,.557,15,22,.682,6,24,30,15,10,3,16,25
55,Air Force,28,2016-02-20,,New Mexico,REG (Conf),W,76,72,,27,56,.482,8,24,.333,19,32,.594,.554,14,24,.583,6,30,34,16,6,1,17,25,23,56,.411,11,37,.297,12,19,.632,.509,15,23,.652,4,30,34,16,6,1,17,25
56,Air Force,29,2016-02-24,@,Fresno State,REG (Conf),L,63,64,,22,46,.478,10,20,.500,12,26,.462,.587,9,12,.750,2,20,27,16,10,5,14,20,21,50,.420,9,30,.300,12,20,.600,.510,13,20,.650,7,20,27,16,10,5,14,20
57,Air Force,30,2016-03-01,,Utah State,REG (Conf),L,65,78,,27,56,.482,7,26,.269,20,30,.667,.545,4,8,.500,6,22,32,19,7,2,12,11,30,60,.500,14,34,.412,16,26,.615,.617,4,5,.800,10,22,32,19,7,2,12,11
58,Air Force,31,2016-03-05,@,Colorado State,REG (Conf),L,73,87,,23,53,.434,10,21,.476,13,32,.406,.528,17,19,.895,5,22,33,20,8,6,11,22,23,54,.426,13,30,.433,10,24,.417,.546,28,34,.824,11,22,33,20,8,6,11,22
60,Air Force,32,2016-03-09,@,UNLV,CTOURN,L,102,108,3OT,36,81,.444,8,28,.286,28,53,.528,.494,22,33,.667,15,29,40,19,9,1,23,28,31,66,.470,12,36,.333,19,30,.633,.561,34,44,.773,11,29,40,19,9,1,23,28
62,Akron,1,2015-11-14,N,Cleveland State,REG (Non-Conf),W,65,53,,24,53,.453,7,19,.368,17,34,.500,.519,10,19,.526,11,21,34,6,10,3,13,22,18,57,.316,4,18,.222,14,39,.359,.351,13,22,.591,13,21,34,6,10,3,13,22
63,Akron,2,2015-11-16,,Hiram,REG (Non-Conf),W,100,30,,32,67,.478,11,28,.393,21,39,.538,.560,25,33,.758,16,20,28,5,9,0,16,29,12,70,.171,4,30,.133,8,40,.200,.200,2,9,.222,8,20,28,5,9,0,16,29
64,Akron,3,2015-11-18,@,Arkansas,REG (Non-Conf),W,88,80,,29,57,.509,13,28,.464,16,29,.552,.623,17,25,.680,11,20,32,17,7,4,8,23,24,63,.381,6,20,.300,18,43,.419,.429,26,32,.813,12,20,32,17,7,4,8,23
65,Akron,4,2015-11-22,@,Villanova,REG (Non-Conf),L,56,75,,21,59,.356,11,33,.333,10,26,.385,.449,3,10,.300,10,28,41,19,9,3,6,16,27,67,.403,9,28,.321,18,39,.462,.470,12,16,.750,13,28,41,19,9,3,6,16
66,Akron,5,2015-11-24,@,Green Bay,REG (Non-Conf),L,63,66,,21,60,.350,7,24,.292,14,36,.389,.408,14,20,.700,6,28,47,7,12,4,9,19,22,68,.324,2,13,.154,20,55,.364,.338,20,37,.541,19,28,47,7,12,4,9,19
67,Akron,6,2015-11-27,,Charleston Southern,REG (Non-Conf),W,82,58,,28,68,.412,15,35,.429,13,33,.394,.522,11,13,.846,11,23,29,8,3,4,18,14,24,53,.453,7,19,.368,17,34,.500,.519,3,8,.375,6,23,29,8,3,4,18,14
