id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,PBP,team_box,player_box
401483168,s:40~l:41~e:401483168~c:401483168,2022-12-17T23:10Z,20261,TRUE,TRUE,FALSE,FALSE,2022-12-17T23:10Z,event,CBS Sports Classic,0,N/A,1830,Madison Square Garden,New York,NY,19812,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,53,FALSE,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,2774ae,f2a900,TRUE,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,63,TRUE,401483168,2023,2,,,,,,,2022-12-17T23:10:00Z,2022-12-17,TRUE,TRUE,TRUE
401483487,s:40~l:41~e:401483487~c:401483487,2022-12-17T23:10Z,14355,TRUE,FALSE,FALSE,FALSE,2022-12-17T23:10Z,"","",0,N/A,2108,Marriott Center,Provo,UT,18987,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,252,s:40~l:41~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,TRUE,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,75,TRUE,254,s:40~l:41~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,2196,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,21,66,FALSE,401483487,2023,2,,,,,,,2022-12-17T23:10:00Z,2022-12-17,TRUE,TRUE,TRUE
401491690,s:40~l:41~e:401491690~c:401491690,2022-12-17T23:00Z,1627,TRUE,FALSE,FALSE,FALSE,2022-12-17T23:00Z,"","",0,N/A,2065,Worthington Arena,Bozeman,MT,6772,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,147,s:40~l:41~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana St,00205c,bc955c,TRUE,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,144,TRUE,3218,s:40~l:41~t:3218,Northwest Indian,Eagles,NWIND,Northwest Indian Eagles,Northwest Indian,,,FALSE,,,,59,FALSE,401491690,2023,2,,,,,,,2022-12-17T23:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401494632,s:40~l:41~e:401494632~c:401494632,2022-12-17T22:00Z,737,TRUE,FALSE,FALSE,FALSE,2022-12-17T22:00Z,"","",0,N/A,6853,RIMAC Arena,San Diego,CA,4000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,28,s:40~l:41~t:28,UC San Diego,Tritons,UCSD,UC San Diego Tritons,UC San Diego,000000,,TRUE,2212,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png,9,91,TRUE,2475,s:40~l:41~t:2475,Occidental,Tigers,OCC,Occidental Tigers,Occidental,000000,,FALSE,,,,55,FALSE,401494632,2023,2,,,,,,,2022-12-17T22:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401487396,s:40~l:41~e:401487396~c:401487396,2022-12-17T22:00Z,6446,TRUE,FALSE,FALSE,FALSE,2022-12-17T22:00Z,"","",0,N/A,2083,Thomas & Mack Center,Las Vegas,NV,18000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2439,s:40~l:41~t:2439,UNLV,Rebels,UNLV,UNLV Rebels,UNLV,b10202,ffffff,TRUE,2083,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,44,73,FALSE,2539,s:40~l:41~t:2539,San Francisco,Dons,SF,San Francisco Dons,San Francisco,22523F,fbcd3c,TRUE,789,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,29,75,TRUE,401487396,2023,2,,,,,,,2022-12-17T22:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401483214,s:40~l:41~e:401483214~c:401483214,2022-12-17T22:00Z,6154,TRUE,FALSE,FALSE,FALSE,2022-12-17T22:00Z,"","",0,N/A,5168,The Sandy and John Black Pavilion at Ole Miss,Oxford,MS,9500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,145,s:40~l:41~t:145,Ole Miss,Rebels,MISS,Ole Miss Rebels,Ole Miss,001148,00205b,TRUE,5168,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,23,63,TRUE,218,s:40~l:41~t:218,Temple,Owls,TEM,Temple Owls,Temple,A80532,a7a9ac,TRUE,2011,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,62,55,FALSE,401483214,2023,2,,,,,,,2022-12-17T22:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401484867,s:40~l:41~e:401484867~c:401484867,2022-12-17T21:30Z,4117,TRUE,TRUE,FALSE,FALSE,2022-12-17T21:30Z,event,Greenville Classic,0,N/A,4808,Bon Secours Wellness Arena,Greenville,SC,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,231,s:40~l:41~t:231,Furman,Paladins,FUR,Furman Paladins,Furman,582c83,ffffff,TRUE,2166,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,24,72,TRUE,2617,s:40~l:41~t:2617,Stephen F. Austin,Lumberjacks,SFA,Stephen F. Austin Lumberjacks,SF Austin,393996,bec0c2,TRUE,2079,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,30,70,FALSE,401484867,2023,2,,,,,,,2022-12-17T21:30:00Z,2022-12-17,TRUE,TRUE,TRUE
401489009,s:40~l:41~e:401489009~c:401489009,2022-12-17T21:00Z,16675,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,824,Simmons Bank Arena,North Little Rock,AR,18000,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:41~t:8,Arkansas,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,a41f35,222222,TRUE,2142,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,23,76,TRUE,71,s:40~l:41~t:71,Bradley,Braves,BRAD,Bradley Braves,Bradley,b70002,c0c0c0,TRUE,406,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,18,57,FALSE,401489009,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401483342,s:40~l:41~e:401483342~c:401483342,2022-12-17T21:00Z,13813,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2127,State Farm Center,Champaign,IL,15544,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,356,s:40~l:41~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,ff5f05,13294b,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,68,TRUE,2010,s:40~l:41~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,TRUE,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,47,FALSE,401483342,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401482998,s:40~l:41~e:401482998~c:401482998,2022-12-17T21:00Z,7587,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2119,Cassell Coliseum,Blacksburg,VA,8925,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,259,s:40~l:41~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,630031,cf4520,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,74,TRUE,2755,s:40~l:41~t:2755,Grambling,Tigers,GRAM,Grambling Tigers,Grambling,ee8601,ffd10a,TRUE,1928,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,26,48,FALSE,401482998,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
