Game ID,Name,Site,Date,Opponent,Outcome,Game,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
400841327,California,away,2016-02-29,Southern California,1,29,109.62870514820592,96.7697525688039,0.3386308068459657,0.5584588975777227,0.5469561113732893,0.4967490247074122,0.055568766348356,0.1146245059288537,0.5327017114914425,0.1787207488299532,0.323262839879154,0.4248166259168704,0.4350497366881217,0.1792217869613646,0.676737160120846,0.3739028671737858,4000.65,0.2598010532475132
400841328,California,home,2016-03-04,Arizona,0,30,109.22641372468362,96.81954814312034,0.3360800470865215,0.5547226386806597,0.5483135824977211,0.4911616161616162,0.0562396974692136,0.1120426829268292,0.5282519128899352,0.1795436397512522,0.3288069835111542,0.4155385520894644,0.4354838709677419,0.179870066905847,0.6711930164888458,0.3712507074136955,4128.95,0.2574985851726089
400841329,California,home,2016-03-06,Arizona State,1,31,109.0410252201339,96.81546605941804,0.3356164383561644,0.5537757982112447,0.5477453580901857,0.4938574938574938,0.0572817015482492,0.1103703703703703,0.526541095890411,0.1786865832639613,0.3270676691729323,0.4172374429223744,0.436473165388828,0.1788879368023194,0.6729323308270677,0.3652792990142388,4262.049999999999,0.2606790799561884
400870755,California,away,2016-03-11,Oregon State,1,32,109.01619805441732,96.85009832785806,0.3364692861095739,0.553372437397006,0.546506643806258,0.4988066825775656,0.0591103886508053,0.1118326118326118,0.5262866629773104,0.1788937194229088,0.3269927536231884,0.4222468179302712,0.4384984025559105,0.1791499471416717,0.6730072463768116,0.3668796592119275,4401.699999999999,0.2619808306709265
400870843,California,home,2016-03-12,Utah,0,33,108.99098703011654,97.31632204135504,0.3370666666666667,0.5519928746381653,0.544472152950956,0.4901960784313725,0.0598328200615926,0.1110330288123682,0.5245333333333333,0.1754231699274566,0.3242769500438212,0.416,0.4400826446280991,0.1755389353277607,0.6757230499561788,0.371900826446281,4547.499999999999,0.2649793388429752
0,California,neutral,2016-03-18,Hawaii,L,34,108.99098703011654,97.31632204135504,0.3370666666666667,0.5519928746381653,0.544472152950956,0.4901960784313725,0.0598328200615926,0.1110330288123682,0.5245333333333333,0.1754231699274566,0.3242769500438212,0.416,0.4400826446280991,0.1755389353277607,0.6757230499561788,0.371900826446281,4547.499999999999,0.2649793388429752
400835588,Campbell,home,2015-11-17,Savannah State,0,1,77.70961145194275,81.01613456917266,0.3181818181818182,0.5057675244010648,0.5441176470588235,0.5263157894736842,0.1373154823206316,0.027027027027027,0.4772727272727273,0.32719836400818,0.2258064516129032,0.5909090909090909,0.43,0.3295571575695159,0.7741935483870968,0.54,146.175,0.26
400825543,Campbell,away,2015-11-21,Morgan State,0,2,78.57016457264201,84.72446598456291,0.34,0.4502129385520178,0.4965034965034965,0.5,0.1579608687847783,0.0422535211267605,0.42,0.2406653689612458,0.2162162162162162,0.49,0.4587628865979381,0.2441213426673846,0.7837837837837838,0.5051546391752577,280.54999999999995,0.268041237113402
400835589,Campbell,home,2015-11-25,SIU Edwardsville,1,3,88.6165448974782,92.21902017291067,0.3486842105263157,0.5022709056906225,0.4418604651162791,0.4615384615384615,0.1344860710854947,0.025,0.4769736842105263,0.1979731322177704,0.1650485436893204,0.4868421052631579,0.4598765432098765,0.2017291066282421,0.8349514563106796,0.4444444444444444,420.35,0.2592592592592592
400835590,Campbell,away,2015-11-28,Coastal Carolina,1,4,95.47648846772752,96.1189698948132,0.3671497584541063,0.5304987085237433,0.4539007092198581,0.4673913043478261,0.1088139281828074,0.025,0.5072463768115942,0.1895226175576613,0.1838235294117647,0.4541062801932367,0.4772727272727273,0.1922379397896264,0.8161764705882353,0.4181818181818181,555.3499999999999,0.2727272727272727
