Game ID,Name,Site,Date,Opponent,Outcome,Game,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr,is_tournament_game
253252351,Loyola Marymount,home,2005-11-21,Montana,0,2,102.19922380336352,98.4296584102315,0.246031746031746,0.5176933158584535,0.5032679738562091,0.5555555555555556,0.1230370730127893,0.1,0.4682539682539682,0.2005174644243208,0.3333333333333333,0.4444444444444444,0.5227272727272727,0.2007446980734984,0.6666666666666666,0.3909090909090909,309.02500000000003,0.2727272727272727,False
253290264,Loyola Marymount,away,2005-11-25,Washington,0,3,93.00385778333852,110.7614852108244,0.2901554404145077,0.4938545011626619,0.4831932773109244,0.6329113924050633,0.092301237675687,0.099236641221374,0.4533678756476684,0.2460640183505369,0.3358208955223881,0.3575129533678756,0.5594594594594594,0.2475351374029787,0.664179104477612,0.3567567567567568,478.12500000000006,0.2918918918918919,False
253340299,Loyola Marymount,away,2005-11-30,Long Beach State,0,4,94.26166794185156,109.79547900968782,0.271062271062271,0.4877276326207442,0.5,0.6216216216216216,0.0953406120252191,0.0920245398773006,0.4487179487179487,0.2387146136189747,0.3563829787234042,0.3296703296703296,0.5609243697478992,0.2398892818699061,0.6436170212765957,0.4789915966386555,651.9000000000001,0.315126050420168,False
253372351,Loyola Marymount,home,2005-12-03,UC Santa Barbara,1,5,98.35227998467238,106.49980845358188,0.2861356932153392,0.4968383017163505,0.508235294117647,0.6,0.1021580896437236,0.099502487562189,0.4601769911504424,0.2350236300932431,0.3793103448275862,0.3008849557522124,0.5306122448979592,0.2349636061805644,0.6206896551724138,0.4693877551020408,783.0,0.3163265306122449,False
253400149,Loyola Marymount,away,2005-12-06,Montana,0,6,95.28896485418224,105.84155774873298,0.29,0.488981471329898,0.4990176817288801,0.5975609756097561,0.0960256068284875,0.0897959183673469,0.45375,0.2371541501976284,0.36,0.295,0.5236111111111111,0.2368631635102693,0.64,0.4305555555555556,936.675,0.3194444444444444,False
253442351,Loyola Marymount,home,2005-12-10,Southern California,0,7,95.31741625023136,104.42469726967173,0.2807017543859649,0.4892646779403382,0.5017182130584192,0.6075268817204301,0.0957686817993462,0.0805860805860805,0.4517543859649123,0.2332037756801777,0.3533123028391167,0.3245614035087719,0.5268948655256723,0.2320548828214927,0.6466876971608833,0.4425427872860635,1083.275,0.3325183374083129,False
253512351,Loyola Marymount,home,2005-12-17,Northern Colorado,1,8,96.37571853724164,102.9874535126078,0.2605363984674329,0.4898669650627875,0.4954682779456193,0.6448598130841121,0.1046221749969349,0.0798722044728434,0.4511494252873563,0.2168861347792409,0.3397790055248619,0.3275862068965517,0.524731182795699,0.2174179574155053,0.6602209944751382,0.410752688172043,1224.9499999999998,0.3268817204301075,False
253540062,Loyola Marymount,away,2005-12-21,Hawaii,0,9,96.57412876550502,102.76096264579948,0.252991452991453,0.4835847382431233,0.4973190348525469,0.6244725738396625,0.1092573453417983,0.0732394366197183,0.4452991452991452,0.2067336089781453,0.3432098765432099,0.3282051282051282,0.5194174757281553,0.2067030857817805,0.6567901234567901,0.4427184466019417,1354.5,0.3106796116504854,False
253562711,Loyola Marymount,away,2005-12-22,Western Michigan,0,10,95.56268377439189,101.44879044400574,0.2519809825673534,0.4823259579060981,0.4898446833930704,0.6324110671936759,0.1057315889851775,0.0703517587939698,0.4405705229793978,0.2125100240577385,0.3415730337078652,0.3676703645007924,0.5051813471502591,0.2128015525144711,0.6584269662921348,0.4369602763385147,1495.375,0.3126079447322971,False
253572351,Loyola Marymount,home,2005-12-23,South Florida,0,11,94.45027470831532,100.2809595850443,0.2566371681415929,0.4823759379532126,0.4894561598224195,0.6323529411764706,0.1062088980826823,0.0720930232558139,0.441740412979351,0.2210012963763195,0.3403361344537815,0.3569321533923303,0.5032051282051282,0.2210627064744203,0.6596638655462185,0.4342948717948718,1619.675,0.3108974358974359,False
