<<<<<<< HEAD
Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr,Game ID
Abilene Christian,1,Jackson State,home,1,2022-11-07,86.09271523178808,75.01674480910917,0.49122807017543857,0.48872180451127817,0.4533333333333333,0.5217391304347826,0.12056262558606831,0.1388888888888889,0.47368421052631576,0.1986754966887417,0.15384615384615385,0.3508771929824561,0.41818181818181815,0.20093770931011384,0.8461538461538461,0.2545454545454545,150.15,0.34545454545454546,401493953.0
Abilene Christian,2,Texas A&M,away,0,2022-11-11,84.7107438016529,93.4809348093481,0.42201834862385323,0.49516908212560384,0.43283582089552236,0.5581395348837209,0.14057283429977158,0.078125,0.46788990825688076,0.24793388429752067,0.2112676056338028,0.29357798165137616,0.494949494949495,0.2530311017395888,0.7887323943661971,0.494949494949495,287.475,0.35353535353535354,401483237.0
Abilene Christian,3,Wright State,away,0,2022-11-21,82.90155440414509,96.19789280806229,0.40718562874251496,0.49211018989034505,0.4639175257731959,0.5735294117647058,0.14200641319285387,0.07766990291262135,0.47604790419161674,0.26582563640459567,0.22429906542056074,0.25149700598802394,0.5469798657718121,0.27027027027027023,0.7757009345794392,0.4563758389261745,440.25,0.3087248322147651,401491796.0
Abilene Christian,4,Weber State,home,0,2022-11-22,85.61439413319691,98.56615437451704,0.38636363636363635,0.5118792699092485,0.45161290322580644,0.6276595744680851,0.13050570962479607,0.08270676691729323,0.5,0.25240897075125784,0.19548872180451127,0.2409090909090909,0.5425,0.2541426976903924,0.8045112781954887,0.465,584.3499999999999,0.335,401491701.0
Abilene Christian,5,UC Riverside,away,0,2022-11-23,87.11834034047833,101.07197549770292,0.3892857142857143,0.503625786915292,0.44654088050314467,0.6293103448275862,0.1252958373938466,0.08695652173913043,0.48392857142857143,0.24260803639120548,0.22285714285714286,0.25357142857142856,0.5436507936507936,0.2450229709035222,0.7771428571428571,0.4523809523809524,721.875,0.3611111111111111,401491798.0
Abilene Christian,6,Northern Arizona,away,1,2022-11-27,94.18826109540025,104.06922357343313,0.3735294117647059,0.5310080041647687,0.4597402597402597,0.6066666666666667,0.11927034611786717,0.08121827411167512,0.513235294117647,0.22623650949385354,0.23671497584541062,0.2735294117647059,0.5483870967741935,0.2291861552853134,0.7632850241545893,0.43870967741935485,860.7749999999999,0.36451612903225805,401491693.0
Abilene Christian,7,Kansas State,away,0,2022-12-06,94.42360590147538,105.96826995718962,0.369620253164557,0.5304860915987637,0.4541387024608501,0.6,0.11483253588516747,0.07563025210084033,0.5139240506329114,0.22205551387846964,0.23333333333333334,0.26582278481012656,0.5578512396694215,0.2236212540921682,0.7666666666666667,0.45454545454545453,996.25,0.3443526170798898,401483286.0
Abilene Christian,8,Cal State Bakersfield,away,1,2022-12-17,95.4963766505135,104.6558432845834,0.3761261261261261,0.5323947851088088,0.449901768172888,0.6051282051282051,0.11270629276801288,0.0683453237410072,0.5135135135135135,0.2151780553950118,0.22992700729927007,0.28603603603603606,0.5473300970873787,0.21646764166554855,0.7700729927007299,0.4393203883495146,1121.3,0.32524271844660196,401493956.0
Abilene Christian,9,Stephen F. Austin,away,0,2022-12-29,96.10038916686523,105.28834649437664,0.3702970297029703,0.5301901673823504,0.45077720207253885,0.6143497757847534,0.10688362447156416,0.06853582554517133,0.5128712871287129,0.21126201254864588,0.2379421221864952,0.2732673267326733,0.5426439232409381,0.21217197096594081,0.7620578778135049,0.43923240938166314,1256.4,0.31556503198294245,401481054.0
Abilene Christian,10,Tarleton State,home,1,2022-12-31,96.24790260968905,103.1641279920094,0.3664259927797834,0.5313152812265973,0.45950155763239875,0.5942622950819673,0.108443620019263,0.07202216066481995,0.509927797833935,0.2127735532469387,0.24127906976744187,0.30505415162454874,0.5367504835589942,0.2126065708272393,0.7587209302325582,0.43907156673114117,1401.1,0.30174081237911027,401481060.0
Abilene Christian,11,Southern Utah,home,0,2023-01-07,96.34508588402429,103.0447992759713,0.3695299837925446,0.5281042050120346,0.4512022630834512,0.5836431226765799,0.1124830305772836,0.0737913486005089,0.5024311183144247,0.20405527573292007,0.234375,0.3047001620745543,0.5419642857142857,0.20427952679552652,0.765625,0.46785714285714286,1547.75,0.2982142857142857,401481069.0
Abilene Christian,12,Texas-Rio Grande Valley,away,0,2023-01-11,96.73012643511117,104.62074978204011,0.3584905660377358,0.52583346500237,0.4424320827943079,0.6040268456375839,0.11624527753560011,0.07547169811320754,0.49564586357039186,0.19648306932131956,0.2331002331002331,0.31204644412191584,0.5577557755775577,0.1964545190351642,0.7668997668997669,0.5115511551155115,1720.375,0.30033003300330036,401481075.0
Abilene Christian,13,Tarleton State,away,0,2023-01-14,96.3297815089872,104.81479484552759,0.35656836461126007,0.5215009905605407,0.44642857142857145,0.6055900621118012,0.11538254165094085,0.06986899563318777,0.4932975871313673,0.19588849424173932,0.23768736616702354,0.3163538873994638,0.553763440860215,0.1962581549576751,0.7623126338329764,0.5314900153609831,1856.45,0.2964669738863287,401481085.0
Abilene Christian,14,Utah Valley,away,0,2023-01-18,94.54545454545455,105.33928526895933,0.35049019607843135,0.5076223589194971,0.4410810810810811,0.60932944606414,0.11571360881817501,0.06613226452905811,0.4791666666666667,0.19028642590286426,0.2350674373795761,0.30637254901960786,0.5568022440392707,0.19052844210578818,0.7649325626204239,0.5063113604488079,2006.225,0.30014025245441794,401481086.0
Abilene Christian,15,UT Arlington,home,1,2023-01-21,96.7341683249444,105.24590931435662,0.35028901734104045,0.521256465245364,0.44455852156057496,0.6122994652406417,0.11610758678808025,0.06566604127579738,0.4936416184971098,0.19197003394592063,0.2379182156133829,0.3063583815028902,0.5549738219895288,0.1919520588028746,0.7620817843866171,0.4986910994764398,2135.85,0.3023560209424084,401481096.0
Abilene Christian,16,Grand Canyon,home,0,2023-01-26,97.53516468980114,105.69696969696969,0.3466522678185745,0.5217227227699419,0.4455159112825458,0.6054590570719603,0.11724517906336088,0.06571936056838366,0.4956803455723542,0.187838969972221,0.2421602787456446,0.3045356371490281,0.5573366214549939,0.18776859504132232,0.7578397212543554,0.499383477188656,2268.325,0.30579531442663377,401481101.0
Abilene Christian,17,Utah Tech,home,1,2023-01-28,98.24938956255431,105.4699617412884,0.3326551373346897,0.5242238219317228,0.4536363636363636,0.5953488372093023,0.11829180022748423,0.06429780033840947,0.49440488301119023,0.18789057650126226,0.2487644151565074,0.31943031536113936,0.5609048723897911,0.18777789266880365,0.7512355848434926,0.49303944315545245,2417.025,0.314385150812065,401481105.0
Abilene Christian,18,Seattle,away,1,2023-02-01,99.34098597884113,104.9915959817066,0.32666666666666666,0.5276606352701664,0.45787234042553193,0.5862068965517241,0.11726537153578548,0.06210191082802548,0.4990476190476191,0.18303772219723485,0.24804992199687986,0.3076190476190476,0.5555555555555556,0.18293397959582533,0.7519500780031201,0.46817691477885653,2557.5750000000003,0.3225458468176915,401481109.0
