Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
Abilene Christian,1,Texas Tech,home,0,2018-12-16,76.86148919135309,122.43374393430386,0.39622641509433965,0.37825059101654845,0.4,0.6,0.05972377752892871,0.09375,0.330188679245283,0.12810248198558846,0.21951219512195122,0.41509433962264153,0.6203703703703703,0.11944755505785742,0.7804878048780488,0.3888888888888889,129.425,0.4074074074074074
Abilene Christian,2,Pacific,home,1,2018-11-24,93.7984496124031,117.1964764458062,0.3302752293577982,0.47265625,0.4418604651162791,0.4418604651162791,0.06127920337035618,0.07692307692307693,0.44036697247706424,0.13953488372093023,0.2328767123287671,0.3669724770642202,0.55,0.1378782075833014,0.7671232876712328,0.58,259.55,0.35
Abilene Christian,3,Pepperdine,home,0,2018-12-02,92.34262646650687,115.69416498993962,0.3157894736842105,0.46642028800815594,0.4517766497461929,0.47058823529411764,0.08551307847082494,0.06451612903225806,0.43859649122807015,0.14633530970102182,0.24107142857142858,0.30994152046783624,0.5547945205479452,0.1458752515090543,0.7589285714285714,0.6027397260273972,396.975,0.363013698630137
Abilene Christian,4,Elon,away,1,2018-11-22,100.38382049010923,112.67605633802815,0.31718061674008813,0.4999509851975296,0.4701195219123506,0.5257731958762887,0.0827341672412095,0.061946902654867256,0.48237885462555063,0.13778171439818915,0.2553191489361702,0.2599118942731278,0.5510752688172043,0.13789027873534915,0.7446808510638298,0.5752688172043011,507.85,0.3924731182795699
Abilene Christian,5,UC Riverside,home,1,2018-11-25,101.59651669085632,106.72631410768491,0.29285714285714287,0.49676707143983595,0.48264984227129337,0.5210084033613446,0.08627576290142194,0.05517241379310345,0.4767857142857143,0.14191259474278342,0.2897727272727273,0.2785714285714286,0.5258620689655172,0.14059753954305798,0.7102272727272727,0.5258620689655172,623.0,0.375
Abilene Christian,6,Arkansas State,away,1,2018-11-10,106.0203486488238,104.80236899703874,0.2865671641791045,0.5287311744554328,0.5,0.5266666666666666,0.09012488734389082,0.0427807486631016,0.5029850746268657,0.1607154429395373,0.3058252427184466,0.3253731343283582,0.5189003436426117,0.15964980043774946,0.6941747572815534,0.5017182130584192,774.125,0.35738831615120276
Abilene Christian,7,Campbell,away,1,2018-12-05,108.57931034482759,103.33949744370716,0.28720626631853785,0.5501817165222254,0.4897025171624714,0.5084745762711864,0.10660284999456107,0.03669724770642202,0.5195822454308094,0.16110344827586207,0.29004329004329005,0.3524804177545692,0.5193452380952381,0.15881649080822363,0.70995670995671,0.5178571428571429,912.7750000000001,0.35119047619047616
Abilene Christian,8,Denver,home,1,2018-11-16,108.81308092851233,102.90376769858412,0.3101851851851852,0.5548662464638443,0.4838709677419355,0.5326633165829145,0.10367170626349892,0.051181102362204724,0.5231481481481481,0.15961847291839018,0.277992277992278,0.34953703703703703,0.5271317829457365,0.1574274058075354,0.722007722007722,0.4780361757105943,1034.6,0.34366925064599485
Abilene Christian,9,Texas A&M-CC,away,1,2019-01-31,109.31868886219323,102.65950699758997,0.32179226069246436,0.5561375938536756,0.489247311827957,0.5491071428571429,0.11162318718024608,0.05517241379310345,0.5234215885947047,0.1647503003260683,0.2905405405405405,0.35030549898167007,0.5311778290993071,0.1623609995349034,0.7094594594594594,0.48267898383371827,1173.975,0.3302540415704388
Abilene Christian,10,Texas A&M-CC,home,1,2019-02-28,109.66521218673977,101.98730858380516,0.3357798165137615,0.5534551974120123,0.4888888888888889,0.5609756097560976,0.11703461640764526,0.04892966360856269,0.5192660550458715,0.15909178669343937,0.2912912912912913,0.3724770642201835,0.5296523517382413,0.15655279857126572,0.7087087087087087,0.4560327198364008,1305.35,0.3312883435582822
Abilene Christian,11,Stephen F. Austin,home,0,2019-01-24,106.77020140742538,100.25337259467233,0.33500837520938026,0.5514376768002293,0.4913294797687861,0.5576208178438662,0.12052318016845855,0.055248618784530384,0.5175879396984925,0.1788747530072451,0.29120879120879123,0.35678391959798994,0.5257826887661142,0.17667602547421762,0.7087912087912088,0.430939226519337,1451.325,0.3333333333333333
Abilene Christian,12,Stephen F. Austin,away,1,2019-03-06,107.38426221145261,99.57460217425556,0.34662576687116564,0.550975003271823,0.4980392156862745,0.5733788395904437,0.11722073420513629,0.06234413965087282,0.5168711656441718,0.17727330697615098,0.2975,0.3619631901840491,0.5175,0.17520088230660155,0.7025,0.4083333333333333,1577.475,0.33166666666666667
Abilene Christian,13,SE Louisiana,home,1,2019-01-12,107.9331450094162,100.11033041054527,0.3375706214689266,0.5526759884281581,0.4939613526570048,0.55625,0.11613727425817316,0.06320541760722348,0.518361581920904,0.1730225988700565,0.29398148148148145,0.3615819209039548,0.5092307692307693,0.17072179315951455,0.7060185185185185,0.4276923076923077,1710.65,0.31846153846153846
Abilene Christian,14,SE Louisiana,away,0,2019-02-23,107.71717393090978,101.51954278284896,0.3451443569553806,0.5500377696332148,0.4844097995545657,0.5601173020527859,0.11592946721200467,0.06722689075630252,0.5144356955380578,0.17094485384762895,0.2921108742004264,0.36351706036745407,0.5113636363636364,0.16901866247731523,0.7078891257995735,0.4275568181818182,1835.55,0.32386363636363635
Abilene Christian,15,Sam Houston State,home,0,2019-01-05,107.44498683773354,101.80275715800637,0.3411330049261084,0.5524745709254344,0.48634453781512604,0.5647382920110193,0.1191738625460789,0.06679764243614932,0.5160098522167488,0.17788228077797938,0.29518072289156627,0.3608374384236453,0.5192563081009296,0.17573094985608242,0.7048192771084337,0.4169986719787517,1968.3249999999998,0.3240371845949535
Abilene Christian,16,Sam Houston State,away,0,2019-02-10,107.20268006700167,102.6144248966146,0.3390804597701149,0.5575870616241687,0.48415841584158414,0.5468354430379747,0.1158851428704937,0.0641025641025641,0.5224137931034483,0.1830749994101965,0.2903225806451613,0.35977011494252875,0.5233990147783252,0.18130417513609498,0.7096774193548387,0.41748768472906406,2129.7,0.3275862068965517
Abilene Christian,17,Northwestern State,away,1,2019-01-20,107.41699294357068,102.37291109259179,0.3383458646616541,0.5573025455046251,0.48758049678012877,0.5531914893617021,0.11140839510504849,0.06896551724137931,0.5225563909774437,0.18138783816665557,0.2912966252220249,0.3576799140708915,0.5183908045977011,0.1798324487916137,0.7087033747779752,0.4160919540229885,2270.125,0.3333333333333333
Abilene Christian,18,New Orleans,away,1,2019-01-03,106.85336833989705,101.1748673370362,0.33739837398373984,0.55750038050923,0.4878472222222222,0.5503355704697986,0.11397658524498773,0.07062600321027288,0.5228658536585366,0.18586818361776164,0.2917369308600337,0.3546747967479675,0.512486427795874,0.1841795544176251,0.7082630691399663,0.4223669923995657,2410.55,0.32356134636264927
Abilene Christian,19,Nicholls,home,1,2019-02-14,106.36742596360904,99.76879971785729,0.33620689655172414,0.5532605791561338,0.49267100977198697,0.554140127388535,0.11364081664642033,0.0717557251908397,0.51772030651341,0.18175711717407192,0.287758346581876,0.34770114942528735,0.5030769230769231,0.1802578470943219,0.712241653418124,0.4123076923076923,2541.375,0.3282051282051282
Abilene Christian,20,McNeese,home,1,2019-01-10,106.8966816075935,100.67553659312487,0.3403284671532847,0.5554033425965791,0.49147286821705427,0.5694164989939637,0.11078051610247198,0.0707070707070707,0.521441605839416,0.17853779803382422,0.2833333333333333,0.34854014598540145,0.5053501945525292,0.17739852916409365,0.7166666666666667,0.4095330739299611,2663.425,0.32587548638132297
Abilene Christian,21,Lamar,home,1,2019-02-07,106.95876288659791,100.15994313133108,0.3359307359307359,0.5538256227758007,0.4894545454545455,0.5689655172413793,0.11018304602807891,0.07055630936227951,0.5186147186147186,0.17683276059564718,0.28469241773962806,0.35324675324675325,0.4967860422405877,0.17558201528345477,0.7153075822603719,0.4132231404958678,2803.55,0.32323232323232326
Abilene Christian,22,Incarnate Word,home,1,2019-02-16,107.0229530661185,99.1527442240294,0.34051367025683515,0.5552790615001777,0.4922752808988764,0.5711678832116789,0.1116063833407057,0.0718954248366013,0.5207125103562552,0.17745803357314147,0.2845303867403315,0.347970173985087,0.49557522123893805,0.17625642247099255,0.7154696132596685,0.4088495575221239,2928.9500000000003,0.3230088495575221
Abilene Christian,23,Incarnate Word,away,1,2019-03-09,107.97666967879734,98.54050347732392,0.3451816745655608,0.5578473813767931,0.49629130141604855,0.5753899480069324,0.11297221405948998,0.07088607594936709,0.5240916271721959,0.17481311098332372,0.28703703703703703,0.34360189573459715,0.49702380952380953,0.17370294184869559,0.7129629629629629,0.39625850340136054,3052.9750000000004,0.3282312925170068
Abilene Christian,24,Houston Baptist,away,1,2019-01-17,108.00955614233622,98.53632628832966,0.34516616314199394,0.5575749707906011,0.49514563106796117,0.5785123966942148,0.11434462720839776,0.07021791767554479,0.524546827794562,0.17477681378096313,0.28824273072060685,0.34441087613293053,0.49959216965742254,0.1737038599122108,0.7117572692793932,0.3939641109298532,3191.0250000000005,0.3262642740619902
Abilene Christian,25,Central Arkansas,away,1,2019-01-26,107.99278846153844,97.56971933021643,0.34465317919075145,0.5573821339950372,0.4956736711990111,0.5813586097946287,0.11531510000448114,0.07476635514018691,0.5242052023121387,0.17427884615384612,0.288135593220339,0.3468208092485549,0.4933385579937304,0.17327139378911674,0.711864406779661,0.40203761755485895,3337.675,0.329153605015674
Abilene Christian,26,Central Arkansas,home,1,2019-03-02,107.71920193016165,97.06728004600343,0.34695290858725764,0.556941601804682,0.4940828402366864,0.5848484848484848,0.11558366877515812,0.07142857142857142,0.524584487534626,0.172789921551064,0.2817229336437718,0.3344875346260388,0.49138576779026216,0.17193789534215065,0.7182770663562281,0.3895131086142322,3469.425,0.32883895131086144
Abilene Christian,27,Arlington Baptist,away,1,2018-11-07,109.29355661528224,96.16074632221026,0.34701986754966885,0.5633360009145992,0.5,0.5877318116975749,0.1181308823935304,0.07502679528403002,0.5324503311258278,0.17189752689364532,0.28861330326944756,0.3337748344370861,0.4888005780346821,0.17112417542988048,0.7113866967305524,0.38872832369942195,3614.9500000000003,0.3258670520231214
Abilene Christian,28,Howard Payne,away,1,2018-11-28,109.8058019659554,95.31901335528237,0.34627625716104393,0.5665356386926523,0.5027685492801772,0.5867208672086721,0.12372885856145288,0.07596253902185224,0.5372374283895608,0.17368603319214682,0.292896174863388,0.33227243793761935,0.4898316970546985,0.1731141969572259,0.7071038251366121,0.3884992987377279,3760.1000000000004,0.32608695652173914
Abilene Christian,29,Schreiner,away,1,2018-12-08,110.55508507198397,94.6818321549339,0.34747847478474786,0.5712467181159997,0.5067024128686327,0.5909090909090909,0.12450046111281893,0.07746478873239436,0.5421279212792128,0.17655965303975157,0.298936170212766,0.33579335793357934,0.4871447902571042,0.17624756634901115,0.701063829787234,0.38430311231393777,3900.1500000000005,0.3274695534506089
Abilene Christian,30,Southeast Missouri State,home,1,2018-12-22,110.06359339816396,94.57174940460766,0.3460620525059666,0.570651476663331,0.5062370062370062,0.5889029003783102,0.12438455558434827,0.08047105004906771,0.540871121718377,0.1771707123945265,0.2945417095777549,0.3424821002386635,0.4908316961362148,0.17670504325078049,0.7054582904222451,0.3804846103470858,4046.625,0.3326784544859201
Abilene Christian,31,McMurry,away,1,2018-12-29,110.45025677773796,93.23942654892566,0.3457142857142857,0.5693880064031523,0.5132037867463877,0.5905797101449275,0.12679799315958193,0.08087535680304472,0.5402857142857143,0.1777140809745611,0.3050345508390918,0.33714285714285713,0.48482932996207334,0.17732651674949051,0.6949654491609082,0.37104930467762326,4191.075000000001,0.3356510745891277
Abilene Christian,32,SE Louisiana,away,1,2019-03-16,110.15243690869976,93.36042109151353,0.3470294280955025,0.568379842925688,0.5128081198646689,0.589622641509434,0.12697386646966477,0.08140610545790934,0.538034425319267,0.17811292822280306,0.3037249283667622,0.34314269850083284,0.48649478207489255,0.17776341305753068,0.6962750716332379,0.37323511356660527,4327.35,0.336402701043585
Abilene Christian,33,New Orleans,away,1,2019-03-17,110.2143305533136,93.05443818718155,0.3428417653390743,0.5694560281716246,0.5131455399061032,0.5852272727272727,0.12872083668543846,0.08057296329453895,0.5398277717976319,0.1780109407228051,0.3023255813953488,0.3401506996770721,0.48572278405710884,0.17743809779208009,0.6976744186046512,0.37120761451516954,4467.6,0.3355145746579417
Air Force,1,Michigan,home,0,2018-12-22,77.27975270479133,113.9189731247493,0.24444444444444444,0.49309664694280075,0.4576271186440678,0.38095238095238093,0.06417970316887284,0.03571428571428571,0.4888888888888889,0.3091190108191654,0.23076923076923078,0.26666666666666666,0.55,0.3208985158443642,0.7692307692307693,0.11666666666666667,127.025,0.5333333333333333
Air Force,2,Pacific,home,0,2018-12-02,94.5382323733863,119.6948953647565,0.3617021276595745,0.5619834710743802,0.45132743362831856,0.44680851063829785,0.05476237042831997,0.01694915254237288,0.5478723404255319,0.23833167825223436,0.19607843137254902,0.26595744680851063,0.584070796460177,0.23469587326422844,0.803921568627451,0.23893805309734514,253.7,0.4778761061946903
Air Force,3,Colorado,away,0,2018-11-24,87.42350443362058,121.55651636812847,0.31756756756756754,0.5052692363216399,0.4175824175824176,0.3582089552238806,0.06423718344657196,0.022727272727272728,0.4864864864864865,0.2148120394654677,0.17204301075268819,0.3581081081081081,0.6257309941520468,0.2124768375540457,0.8279569892473119,0.2631578947368421,402.55,0.4853801169590643
Air Force,4,UMBC,home,0,2018-11-16,86.31836449414644,113.67235614992082,0.3459715639810427,0.5017265894779606,0.4431818181818182,0.3655913978494624,0.06334682386063699,0.03389830508474576,0.476303317535545,0.22715359077406957,0.18796992481203006,0.35071090047393366,0.5858369098712446,0.22875241949674469,0.8120300751879699,0.31759656652360513,570.3,0.49356223175965663
Air Force,5,UC Riverside,away,1,2018-12-29,91.35820147490514,110.0891060649612,0.34765625,0.5313567085866577,0.46875,0.3728813559322034,0.06611095142282265,0.0410958904109589,0.505859375,0.23483926397938,0.2088607594936709,0.36328125,0.5719298245614035,0.23569991376832425,0.7911392405063291,0.29473684210526313,697.0749999999999,0.48771929824561405
