Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
Adams State,1,Southern Utah,away,0,2004-12-30,74.27055702917772,109.17030567685589,0.5121951219512195,0.48062775870524765,0.5443037974683544,0.5882352941176471,0.13100436681222707,0.0,0.5121951219512195,0.3486169003410383,0.21621621621621623,0.5121951219512195,0.5677966101694916,0.3347889374090247,0.7837837837837838,0.2033898305084746,134.675,0.3389830508474576
Air Force,1,Wyoming,home,1,2005-03-05,102.60723296888142,91.20521172638438,0.5,0.5601469237832873,0.45714285714285713,0.7,0.1791530944625407,0.10526315789473684,0.5340909090909091,0.2523128679562658,0.3125,0.5,0.3979591836734694,0.24429967426710097,0.6875,0.4897959183673469,120.85,0.22448979591836735
Air Force,2,San Diego State,away,1,2005-02-28,116.28396882241414,93.9123207978392,0.5257731958762887,0.6123807410694475,0.4921875,0.75,0.1495948472885934,0.07142857142857142,0.5979381443298969,0.21065936380872127,0.3275862068965517,0.3402061855670103,0.4095744680851064,0.20777062123415752,0.6724137931034483,0.5,239.0,0.2553191489361702
Air Force,3,UNLV,away,0,2005-02-26,110.20062164453235,97.95464032280508,0.5466666666666666,0.5736981465136806,0.42328042328042326,0.7058823529411765,0.12800890496730208,0.05263157894736842,0.55,0.16953941791466515,0.23711340206185566,0.28,0.46153846153846156,0.16696813691387227,0.7628865979381443,0.5615384615384615,356.625,0.2692307692307692
Air Force,4,BYU,home,1,2005-02-21,112.45491194568214,89.77972648501932,0.51010101010101,0.592443550190029,0.4689922480620155,0.6421052631578947,0.1503288443470091,0.08943089430894309,0.5707070707070707,0.1867175896456609,0.2601626016260163,0.2727272727272727,0.42777777777777776,0.1837352542019,0.7398373983739838,0.45,475.125,0.31666666666666665
Air Force,5,Utah,home,0,2005-02-19,109.90327826756825,95.15717926932882,0.50199203187251,0.5771824148161467,0.4637223974763407,0.6239316239316239,0.16652506372132544,0.0967741935483871,0.5577689243027888,0.1951553539330651,0.27388535031847133,0.22709163346613545,0.45852534562211983,0.19371282922684796,0.7261146496815286,0.5069124423963134,586.325,0.2857142857142857
Air Force,6,Wyoming,away,0,2005-02-05,107.96373093413929,96.99510831586305,0.5233333333333333,0.573690894151042,0.4444444444444444,0.6058394160583942,0.16491963661774986,0.09947643979057591,0.5516666666666666,0.19962044000843462,0.2564102564102564,0.24333333333333335,0.47547169811320755,0.19846261355695322,0.7435897435897436,0.49056603773584906,713.425,0.2792452830188679
Air Force,7,UNLV,home,1,2005-01-31,110.48769961156665,97.09334480427704,0.5272206303724928,0.5781018130201948,0.45454545454545453,0.6296296296296297,0.15977385853868373,0.0958904109589041,0.5601719197707736,0.19236697700228123,0.26905829596412556,0.23209169054441262,0.47516556291390727,0.19172863024642048,0.7309417040358744,0.4867549668874172,812.3,0.27483443708609273
Air Force,8,San Diego State,home,1,2005-01-29,110.59907834101381,96.25263613259072,0.5343511450381679,0.5820256776034237,0.4408817635270541,0.6318681318681318,0.16222354404369224,0.0873015873015873,0.5610687022900763,0.1865004066142586,0.250996015936255,0.24173027989821882,0.47681159420289854,0.18601633050343375,0.749003984063745,0.48405797101449277,923.45,0.26956521739130435
Air Force,9,Utah,away,0,2005-01-24,109.9946081074457,99.23328612589735,0.5273972602739726,0.5783207051182929,0.43866171003717475,0.6336633663366337,0.16017971382526738,0.08363636363636363,0.5582191780821918,0.18038331454340473,0.2427536231884058,0.22602739726027396,0.508,0.17971382526737317,0.7572463768115942,0.488,1021.95,0.26666666666666666
Air Force,10,BYU,away,1,2005-01-22,109.28377234033069,98.45773122983783,0.5135135135135135,0.5783837335472001,0.43898305084745765,0.6322869955156951,0.16615846922091124,0.07947019867549669,0.5592515592515592,0.17827695324686899,0.23,0.21413721413721415,0.511990407673861,0.17676432895841623,0.77,0.4580335731414868,1126.65,0.27577937649880097
Air Force,11,New Mexico,home,1,2005-01-15,109.62231307938306,99.57771968630607,0.5028571428571429,0.583042673211902,0.42563291139240506,0.6326530612244898,0.17695556002413035,0.07507507507507508,0.5619047619047619,0.17811601829737278,0.2225609756097561,0.22285714285714286,0.5328947368421053,0.17695556002413035,0.7774390243902439,0.4276315789473684,1239.1999999999998,0.26973684210526316
Air Force,12,Saint Mary's,away,0,2005-01-11,109.23682841643753,100.0959622056544,0.4784110535405872,0.575252406668232,0.427536231884058,0.6194029850746269,0.17125562855244705,0.07865168539325842,0.5526770293609672,0.1753734116073419,0.23204419889502761,0.21761658031088082,0.5368098159509203,0.1742083118033513,0.7679558011049724,0.4621676891615542,1350.1999999999998,0.2719836400817996
Air Force,13,Colorado State,home,1,2005-01-08,107.61662425784564,98.07144055005871,0.4716981132075472,0.5625110835254478,0.4325032765399738,0.6180555555555556,0.17172564145564315,0.07712082262210797,0.5369496855345912,0.17506361323155217,0.24069478908188585,0.2279874213836478,0.5261194029850746,0.17306724802951537,0.7593052109181141,0.457089552238806,1482.25,0.27425373134328357
Air Force,14,UT Rio Grande Valley,home,1,2005-01-05,110.74630635181211,97.74694540795602,0.47398843930635837,0.5695544875957916,0.44103194103194104,0.6246056782334385,0.17499453142089313,0.07729468599033816,0.5447976878612717,0.1679504988003536,0.25635103926096997,0.23699421965317918,0.5280210157618214,0.16624480484984847,0.74364896073903,0.45359019264448336,1591.9249999999997,0.27495621716287216
Air Force,15,Navy,home,1,2005-01-03,111.51057935993398,96.93280262233671,0.45901639344262296,0.5765831657219479,0.44418331374853115,0.6070381231671554,0.17443221727932573,0.07692307692307693,0.549863387978142,0.16974126245063947,0.2572062084257206,0.2540983606557377,0.5272727272727272,0.16857878716928124,0.7427937915742794,0.44958677685950416,1702.5499999999997,0.2694214876033058
Air Force,16,Rutgers,home,1,2004-12-31,112.2063005604793,96.77330770286972,0.46153846153846156,0.5802564322225078,0.4429678848283499,0.6054794520547945,0.17135795688589872,0.07478632478632478,0.5532051282051282,0.1667633010298462,0.25313807531380755,0.25769230769230766,0.5271317829457365,0.16586571467801733,0.7468619246861925,0.4418604651162791,1815.85,0.2744186046511628
Air Force,17,Iowa,away,0,2004-12-28,111.42377694591454,97.87375926543386,0.47539015606242496,0.5798737068386404,0.4392033542976939,0.615979381443299,0.16722665367154843,0.07171314741035857,0.5540216086434574,0.17038853749838648,0.24950884086444008,0.2460984393757503,0.5372262773722628,0.1692785144527944,0.75049115913556,0.454014598540146,1943.1,0.2671532846715328
Air Force,18,Lamar,away,0,2004-12-13,110.94591630310269,98.57929834734708,0.48346636259977194,0.5766550964047733,0.431640625,0.6182266009852216,0.1662317579974872,0.07142857142857142,0.5501710376282782,0.16671135050817715,0.24175824175824176,0.2633979475484607,0.5354223433242506,0.1652652942881995,0.7582417582417582,0.45231607629427795,2060.4249999999997,0.27520435967302453
Air Force,19,Georgia Tech,away,0,2004-12-11,108.2991074501526,98.84423370643083,0.4908700322234157,0.5653642526890736,0.43014705882352944,0.6223277909738717,0.16230879704561518,0.06666666666666667,0.5381310418904404,0.1707087625909185,0.23809523809523808,0.2545649838882922,0.5387596899224806,0.16960357444092375,0.7619047619047619,0.4560723514211886,2186.2499999999995,0.26356589147286824
Air Force,20,Colorado College,home,1,2004-12-06,109.38948483644553,97.75574227233838,0.49126413155190135,0.5664517898779317,0.4357394366197183,0.6131221719457014,0.1623412237018187,0.0657672849915683,0.5405960945529291,0.16686531585220502,0.24390243902439024,0.26104830421377184,0.5347826086956522,0.16585130421429045,0.7560975609756098,0.4434782608695652,2272.2249999999995,0.26335403726708073
