<<<<<<< HEAD
Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
Air Force,1,Dartmouth,home,1,2007-11-09,110.06160164271049,64.1079713201181,0.3170731707317073,0.6335697399527187,0.5384615384615384,0.5909090909090909,0.13496415014761703,0.1111111111111111,0.5975609756097561,0.2299794661190965,0.23076923076923078,0.6097560975609756,0.32978723404255317,0.23618726275832982,0.7692307692307693,0.19148936170212766,120.15,0.425531914893617
Air Force,2,Northern Colorado,home,1,2007-11-10,111.51515151515153,82.40626287597857,0.46987951807228917,0.6463700234192038,0.46616541353383456,0.6666666666666666,0.10712814173877215,0.09259259259259259,0.5963855421686747,0.21818181818181817,0.18518518518518517,0.6024096385542169,0.4019607843137255,0.22249690976514216,0.8148148148148148,0.2549019607843137,245.1,0.47058823529411764
Air Force,3,Radford,home,1,2007-11-19,101.95867990340757,80.26208026208027,0.4962962962962963,0.5710850616170725,0.43137254901960786,0.6,0.1365001365001365,0.125,0.5222222222222223,0.20391735980681513,0.1875,0.4888888888888889,0.41946308724832215,0.2074802074802075,0.8125,0.22818791946308725,369.5,0.40939597315436244
Air Force,4,Mississippi Valley State,away,1,2007-11-23,100.75157424334755,77.23283427981416,0.4772727272727273,0.5872602415344541,0.4632352941176471,0.6585365853658537,0.11151264842540011,0.09166666666666666,0.5454545454545454,0.22750355474304287,0.1794871794871795,0.42045454545454547,0.38636363636363635,0.2312854930304595,0.8205128205128205,0.2777777777777778,488.275,0.3939393939393939
Air Force,5,Montana,away,0,2007-11-24,99.90991728769143,81.80231108155293,0.4646017699115044,0.5684465567048738,0.4606413994169096,0.6470588235294118,0.10308421315155043,0.0763888888888889,0.5309734513274337,0.206371304561461,0.16883116883116883,0.3938053097345133,0.41188524590163933,0.20949372350153797,0.8311688311688312,0.29098360655737704,606.0,0.4098360655737705
Air Force,6,Washington State,away,0,2007-11-25,100.58239122987325,87.78123918310835,0.47058823529411764,0.5700970873786407,0.4525,0.6446280991735537,0.10245759778470061,0.07602339181286549,0.5275735294117647,0.20280918122644742,0.16756756756756758,0.3860294117647059,0.43944636678200694,0.20491519556940122,0.8324324324324325,0.328719723183391,726.0,0.4083044982698962
Air Force,7,Colorado,home,0,2007-11-29,98.82687522218274,90.14825442372072,0.4588607594936709,0.5575611712795828,0.4596949891067538,0.6357142857142857,0.09564801530368247,0.08376963350785341,0.5221518987341772,0.2061855670103093,0.17889908256880735,0.3860759493670886,0.45468277945619334,0.20803443328550936,0.8211009174311926,0.338368580060423,840.1499999999999,0.4229607250755287
Air Force,8,Northern Illinois,away,0,2007-12-04,96.50702196615052,91.66189260975992,0.4447513812154696,0.546651902791538,0.4662813102119461,0.6178343949044586,0.10416124160199991,0.0787037037037037,0.5082872928176796,0.22429137301301505,0.208,0.38950276243093923,0.46756756756756757,0.22707150669235981,0.792,0.37567567567567567,966.0,0.41621621621621624
Air Force,9,Prairie View,home,1,2007-12-08,99.02516436182272,90.62500000000003,0.4534313725490196,0.5612952968388589,0.47440273037542663,0.6444444444444445,0.1047794117647059,0.07346938775510205,0.5245098039215687,0.22670596236681026,0.2158273381294964,0.40441176470588236,0.46291866028708134,0.22977941176470593,0.7841726618705036,0.3827751196172249,1095.375,0.4138755980861244
Air Force,10,Norfolk State,home,1,2007-12-13,101.69350476428242,91.62611176371877,0.4486607142857143,0.5690867601173566,0.47131782945736433,0.665,0.10404430273535831,0.07220216606498195,0.5279017857142857,0.2180335372196563,0.22185430463576158,0.4174107142857143,0.4630021141649049,0.2198355428763216,0.7781456953642384,0.346723044397463,1196.725,0.4143763213530655
